,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,Final_Cat_Ranking,Fin_Rank
0,19923,86.80615766706563,29,59.4531264367816,64.86206896551724,0.0,182.952262980694,127.37410619152439,30.875822888300675,51.42619301213715,76.77373666992649,178.76569204337176,45.179995013749796,0.0,6.40049605566847,198.0,112.65517241379311,170.50291371472636,Low,3.0
1,19924,76.2826820085105,26,65.12094871794872,7.615384615384615,0.0,121.34608003305168,101.64780605101532,32.14218566890306,25.88232685650595,178.20376666066306,116.73727570001986,26.345926114600577,61.53846153846154,6.731729808652886,175.15384615384616,171.34615384615384,54.42833836245026,Low,3.0
6,20013,122.22015677917786,14,66.98547619047619,28.285714285714285,0.0,147.38423415918257,62.940284259574106,51.56263704479028,288.8111829513843,274.3671884243913,247.39588101222574,89.62489939655536,0.0,0.19980019980019983,285.42857142857144,99.0,200.0,High,1.0
7,20014,107.38771615873091,13,60.00923076923076,92.07692307692308,0.0,152.7690614810422,48.9599557027365,126.99806430260695,64.14938535633488,219.3480211277926,287.3236867613031,27.722416931726247,0.0,7.8844232690386535,99.0,237.23076923076923,200.0,High,1.0
12,20152,117.49437256459952,36,65.22111111111111,38.5,0.0,268.69511982923564,57.042714418181475,141.35333873724286,162.5408960900917,154.75310982363368,125.29849247458151,73.90342021458255,16.666666666666668,1.8093018093018094,280.1666666666667,178.75,197.71475062769719,High,1.0
18,20335,121.76908751926459,18,78.23777777777778,27.5,0.0,204.69214474004443,21.137710797479578,141.05960238205995,45.33105446087044,57.534869711929815,265.3081027895847,287.93937728844605,0.0,2.1978021978021984,300.0,198.0,197.59787064297373,High,1.0
19,20336,108.91285588847713,34,62.74215686274509,0.0,0.0,94.66074466818546,58.77397679964613,133.4991522652201,227.7278490913487,190.29971821861116,105.81539884738837,82.27168448172831,17.647058823529413,1.4926250220367867,285.0,183.44117647058823,190.32129677612923,High,1.0
21,20341,76.4774980184171,37,60.52128828828829,0.0,0.0,105.32132340155427,120.59598139123982,29.73071373580876,49.024542027327875,84.07586884211331,166.56947810623956,43.16877009961445,0.0,6.031806031806032,198.0,131.1081081081081,155.55511858876395,Low,3.0
22,20345,97.37651030539989,64,59.24177083333333,0.0,0.0,60.267179257758116,34.779363052958054,129.65733200517337,46.43543076527062,58.73642049711721,88.65619079126813,309.49783527783575,0.0,4.383116883116884,300.0,187.171875,181.8211402171669,Medium,2.0
26,20370,46.181417914816635,13,30.352102564102566,0.0,0.0,9.792505899685192,62.475110517038715,78.9066058846635,30.684044105748242,19.22339677966241,19.31902366882067,28.273013814061667,0.0,0.1998001998001998,245.07692307692307,152.30769230769232,16.111049904051043,Low,3.0
29,20408,87.46904669555235,7,66.44333333333333,99.0,0.0,34.47353879236349,116.22319904750967,120.87163379382635,45.87129775378459,33.2423525051157,311.6644479750306,86.04609703252126,0.0,0.19980019980019983,99.0,99.0,200.0,Low,3.0
34,20418,106.99636748285326,12,69.725,16.5,0.0,293.40866848750227,31.022026510910163,139.48874894869246,57.1865875288837,70.30534901724488,129.0734906388434,220.04033641541727,0.0,4.695304695304696,274.5,99.0,200.0,High,1.0
35,20510,82.12680148406305,8,56.337083333333325,0.0,0.0,42.8112389536731,28.187225041565462,118.90655845858892,46.83691778777131,35.84010681859942,140.83415352452178,56.4564306505847,0.0,7.692307692307692,300.0,198.0,200.0,Low,3.0
38,20641,45.21325319684226,6,26.932,0.0,0.0,15.751456131845464,54.97982752940782,76.73785924685914,29.744705639528558,18.71733603001747,20.94527992726757,19.32586632139191,0.0,0.1998001998001998,300.0,99.0,15.864666926515717,Low,3.0
43,20720,52.86187514908186,9,54.49822222222222,0.0,0.0,18.038071429863272,103.1044644110487,57.88401959669319,51.35092064470706,22.429315372040026,12.86178967827267,81.55829545983494,0.0,0.8658008658008659,198.0,176.0,16.337227555744967,Low,3.0
