OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
108,0,107,5,3090.583930645663713
109,0,108,5,3096.310868472347465
110,0,109,5,2677.489446492852039
111,0,110,5,2701.455853082865360
112,0,111,5,2639.134520302606688
113,0,112,5,2207.639395294053429
114,0,113,5,3077.473581000111153
115,0,114,5,2633.339206138713962
116,0,115,5,3057.086233302156415
117,0,116,5,2193.240111320595588
118,0,117,5,2646.135115184982624
119,0,118,5,58.112727653640583
120,0,119,5,32.160997657332423
121,0,120,5,457.571046529673595
122,0,121,5,439.150817817570839
123,0,122,5,403.986275320621701
124,0,123,5,369.228684297968073
125,0,124,5,352.017581231232214
126,0,125,5,334.979379511126240
127,0,126,5,318.037763936814144
128,0,127,5,269.756502190765843
129,0,128,5,254.647605945454501
130,0,129,5,215.984833867377205
131,0,130,5,182.567299367466063
132,0,131,5,189.306163827022317
133,0,132,5,238.321480006990896
134,0,133,5,4767.634538769614664
135,0,134,5,4978.612980658859669
136,0,135,5,4705.962211336133805
137,0,136,5,3288.051782578309940
138,0,137,5,3300.277608174445504
139,0,138,5,4164.419501429326374
140,0,139,5,4136.676815589699800
141,0,140,5,3167.760575618613530
142,0,141,5,3176.646161994749491
143,0,142,5,4049.225382559890022
144,0,143,5,3218.377832077196672
145,0,144,5,3242.691876110689464
146,0,145,5,3256.145929156694365
147,0,146,5,4030.856661436137074
148,0,147,5,3550.708289011839497
149,0,148,5,3406.675665697928252
150,0,149,5,3237.257977477820532
151,0,150,5,3198.285594639265128
152,0,151,5,3205.286659896941273
153,0,152,5,3237.520986355783407
154,0,153,5,3909.238588379722842
155,0,154,5,3198.835661679799614
156,0,155,5,3449.017749678931068
157,0,156,5,3895.265124390061374
158,0,157,5,3561.292952829071055
159,0,158,5,3313.647564815907117
160,0,159,5,3947.209757028506374
161,0,160,5,3817.588443000585812
162,0,161,5,151.163006763915519
163,0,162,5,169.948750925294348
164,0,163,5,189.046093317662184
165,0,164,5,208.398466992017092
166,0,165,5,236.182297516160759
167,0,166,5,253.486580093729572
168,0,167,5,267.394673141229305
169,0,168,5,251.114974618304842
170,0,169,5,214.598826969260898
171,0,170,5,190.612970619262995
172,0,171,5,199.271829384643780
173,0,172,5,214.949728226861794
174,0,173,5,194.365492958765117
175,0,174,5,164.135205120229557
176,0,175,5,151.626339422625108
177,0,176,5,150.928828630020490
178,0,177,5,66.039948611242281
179,0,178,5,65.191618963397644
180,0,179,5,139.973403517629691
181,0,180,5,890.607936703163887
182,0,181,5,1022.958873499926653
183,0,182,5,207.102219923414083
184,0,183,5,318.580491501635038
185,0,184,5,454.387435668075511
186,0,185,5,2101.647110228240763
187,0,186,5,2119.450543701154857
188,0,187,5,1173.759543481228320
189,0,188,5,757.149201015558333
190,0,189,5,652.675548724875057
191,0,190,5,681.123107385500248
192,0,191,5,1042.621303620129538
193,0,192,5,927.857117221125236
194,0,193,5,888.505798055562764
195,0,194,5,973.867595738386967
196,0,195,5,1018.662072453373753
197,0,196,5,1030.561177399884627
198,0,197,5,1131.778766810606839
199,0,198,5,1994.543000842872971
200,0,199,5,2021.349320953216647
201,0,200,5,2005.377656394645328
202,0,201,5,1990.788463086744287
203,0,202,5,1973.398855269631667
204,0,203,5,1944.181948261629714
205,0,204,5,1947.495534344973521
206,0,205,5,1944.828741116390120
207,0,206,5,1966.332145056017225
208,0,207,5,1981.122709604765078
209,0,208,5,1997.003169742997443
210,0,209,5,85.070084213456241
211,0,210,5,104.098375261104081
212,0,211,5,139.691668845372106
213,0,212,5,114.705416848609914
214,0,213,5,38.032792551976350
215,0,214,5,44.604344965917882
216,0,215,5,2334.783519851870096
217,0,216,5,2323.915055141837456
218,0,217,5,2211.826470572814287
219,0,218,5,2571.602887379863205
220,0,219,5,2616.643039798644168
221,0,220,5,1206.466754011069270
222,0,221,5,1542.950999548043228
223,0,222,5,1360.528733925026700
224,0,223,5,1196.692175693014633
225,0,224,5,2454.022389758571080
226,0,225,5,1970.295638134442470
227,0,226,5,1942.433050281286796
228,0,227,5,1914.711663944324300
229,0,228,5,1877.104310563843001
230,0,229,5,1891.480239495545220
231,0,230,5,1920.157545145477116
232,0,231,5,1934.376750763462496
233,0,232,5,2027.202767440427124
234,0,233,5,2041.962621498501676
235,0,234,5,1939.601220704019624
236,0,235,5,1924.871606048543526
237,0,236,5,1896.929231645494156
238,0,237,5,1883.029253138477770
239,0,238,5,416.450780632921521
240,0,239,5,1953.787288060683068
241,0,240,5,1887.421652697809577
242,0,241,5,1842.862833276346464
243,0,242,5,1818.215747578767150
244,0,243,5,1768.704170650680908
245,0,244,5,1744.112054575412685
246,0,245,5,1773.454631597168827
247,0,246,5,1780.098118267906102
248,0,247,5,1799.925794830592849
249,0,248,5,1816.356716715426955
250,0,249,5,1799.540153061147976
251,0,250,5,1781.506314686576843
252,0,251,5,1763.964143240726344
253,0,252,5,1751.585766580687960
254,0,253,5,1779.049468902199351
255,0,254,5,1765.963308422206865
256,0,255,5,1738.365898791033487
257,0,256,5,1740.325653466081803
258,0,257,5,1712.286657632048673
259,0,258,5,1711.107625462326723
260,0,259,5,1683.536808959409882
261,0,260,5,1660.287306300734144
262,0,261,5,1638.148208816499164
263,0,262,5,1648.314274144823230
264,0,263,5,1682.729516098539534
265,0,264,5,1700.060008702555933
266,0,265,5,1719.656353065728354
267,0,266,5,1742.056669305793775
268,0,267,5,1717.200910271834346
269,0,268,5,1852.128100183203969
270,0,269,5,1505.096065246186527
271,0,270,5,2066.259565301299517
272,0,271,5,2060.244366974387958
273,0,272,5,2058.207792935417729
274,0,273,5,2054.617223568261579
275,0,274,5,1475.259934778370734
276,0,275,5,1445.704322805684114
277,0,276,5,1416.885406820303615
278,0,277,5,1386.456000532269854
279,0,278,5,232.377577397061316
280,0,279,5,63.705706457308452
281,0,280,5,64.949488343059826
282,0,281,5,665.924607274499522
283,0,282,5,689.436351654026112
284,0,283,5,993.449970911163859
285,0,284,5,1266.867934866812448
286,0,285,5,1718.134208803109686
287,0,286,5,1760.049916177379828
288,0,287,5,1347.909707096300963
289,0,288,5,1340.765350798766349
290,0,289,5,1330.334786660741656
291,0,290,5,1320.624741044673556
292,0,291,5,1310.615827350997279
293,0,292,5,2639.148714661671875
294,0,293,5,2520.878010215434642
295,0,294,5,2647.273078797597464
296,0,295,5,2230.202416733103746
297,0,296,5,2691.513557202245011
298,0,297,5,2692.476846872216356
299,0,298,5,3151.125199649500246
300,0,299,5,2608.171404553007960
301,0,300,5,57.095036923713444
302,0,301,5,542.716292325630889
303,0,302,5,335.549865422719904
304,0,303,5,222.864610661328584
305,0,304,5,424.133528406795961
306,0,305,5,617.936737898181377
307,0,306,5,791.846602444288465
308,0,307,5,723.612200559958296
309,0,308,5,896.468249981488157
310,0,309,5,949.701395622718564
311,0,310,5,797.256426896016251
312,0,311,5,812.930625760415978
313,0,312,5,859.142815927424408
314,0,313,5,898.997488819136038
315,0,314,5,975.930754012193574
316,0,315,5,970.094719658612007
317,0,316,5,440.899171412264309
318,0,317,5,539.070301578953035
319,0,318,5,563.506391671120014
320,0,319,5,612.412126772728243
321,0,320,5,636.830405234965838
322,0,321,5,662.843158478335340
323,0,322,5,718.074945808237203
324,0,323,5,789.958341593124828
325,0,324,5,240.393986032341246
326,0,325,5,314.875453392410463
327,0,326,5,339.266069298488787
328,0,327,5,363.863460148326510
329,0,328,5,388.358831831190571
330,0,329,5,412.997176645170953
331,0,330,5,462.196185489502511
332,0,331,5,486.608549422461579
333,0,332,5,514.731355966342676
334,0,333,5,538.112001556311611
335,0,334,5,571.914935785317653
336,0,335,5,584.608445188863698
337,0,336,5,609.183534194767617
338,0,337,5,633.702660221689371
339,0,338,5,233.724629338751896
340,0,339,5,214.614382914166526
341,0,340,5,244.877358304321888
342,0,341,5,216.447633075772075
343,0,342,5,214.655131893225985
344,0,343,5,239.024721278082239
345,0,344,5,210.237423762257833
346,0,345,5,303.729559255127981
347,0,346,5,301.868011272692229
348,0,347,5,301.552319098802684
349,0,348,5,287.895447387821662
350,0,349,5,1897.001269018092671
351,0,350,5,1907.554422620889909
352,0,351,5,1890.758640240849445
353,0,352,5,728.377022913926908
354,0,353,5,776.292665554757377
355,0,354,5,792.474622093215316
356,0,355,5,751.418374727598007
357,0,356,5,707.591762669293530
358,0,357,5,657.044708369474506
359,0,358,5,69.429348620986403
360,0,359,5,232.800096483185769
361,0,360,5,134.637615736781129
362,0,361,5,232.021172193088660
363,0,362,5,13.065890037499548
364,0,363,5,135.321887793401402
365,0,364,5,170.261321095616694
366,0,365,5,314.132324189222174
367,0,366,5,313.304322058265711
368,0,367,5,325.967765230383236
369,0,368,5,342.361756814601563
370,0,369,5,356.591762474577195
371,0,370,5,371.326797176703792
372,0,371,5,386.475242270188630
373,0,372,5,402.112540960691206
374,0,373,5,450.820590891833149
375,0,374,5,484.335281983258767
376,0,375,5,520.681016347260766
377,0,376,5,539.884607640633703
378,0,377,5,560.452529195056513
379,0,378,5,582.197440736048748
380,0,379,5,605.449020354461254
381,0,380,5,630.280912084951296
382,0,381,5,656.908184186906851
383,0,382,5,684.707717557379851
384,0,383,5,47.802155412911560
385,0,384,5,39.613876256407217
386,0,385,5,38.924798697221838
387,0,386,5,37.305496626174637
388,0,387,5,232.843777920955660
389,0,388,5,2771.466747934020987
390,0,389,5,2774.969981392722275
391,0,390,5,3062.535009484940019
392,0,391,5,2102.882171879370617
393,0,392,5,1687.435068501596106
394,0,393,5,100.611483880481643
395,0,394,5,67.998079497484525
396,0,395,5,126.465495533340359
397,0,396,5,95.527679230260020
398,0,397,5,396.671392509539430
399,0,398,5,146.366075961983256
400,0,399,5,280.181359935745263
401,0,400,5,252.265571556341712
402,0,401,5,102.151021599779995
403,0,402,5,101.988515629998759
404,0,403,5,409.656003285231918
405,0,404,5,1942.413718802433550
406,0,405,5,2033.230630019560977
407,0,406,5,2015.963915778359024
408,0,407,5,1995.436929298520681
409,0,408,5,1976.470236503350179
410,0,409,5,1958.933324843148512
411,0,410,5,2137.037490592110316
412,0,411,5,2170.585874662768219
413,0,412,5,1739.303434800661989
414,0,413,5,1765.679089061252398
415,0,414,5,1800.283724349302020
416,0,415,5,2190.752852246941075
417,0,416,5,1529.856991380222325
418,0,417,5,1995.567072353753019
419,0,418,5,1329.014541622904972
420,0,419,5,1547.674064579241758
421,0,420,5,1489.454622051778415
422,0,421,5,1446.214274857824194
423,0,422,5,3180.992210483660529
424,0,423,5,3178.083028655948510
425,0,424,5,3175.516644392603666
426,0,425,5,3173.245919472717560
427,0,426,5,3168.323308761160206
428,0,427,5,2329.649586764598553
429,0,428,5,2332.261466752803699
430,0,429,5,2335.350053942023806
431,0,430,5,2342.801629453143050
432,0,431,5,2919.674464132346202
433,0,432,5,2640.203094123166466
434,0,433,5,2592.363817396819741
435,0,434,5,2535.622759548879458
436,0,435,5,2488.675268415202481
437,0,436,5,2453.176257322269521
438,0,437,5,2006.293580184736584
439,0,438,5,2329.652353009822036
440,0,439,5,59.349562909946926
441,0,440,5,78.355072382064620
442,0,441,5,81.712943517030709
443,0,442,5,69.506702101997504
444,0,443,5,334.896219399804750
445,0,444,5,59.646068489017658
446,0,445,5,70.824787716205819
447,0,446,5,1961.208902256852525
448,0,447,5,42.705153236001330
449,0,448,5,39.758208150920126
450,0,449,5,30.721648094923999
451,0,450,5,37.338928704803067
452,0,451,5,116.475964677846989
453,0,452,5,125.819997552042338
454,0,453,5,55.514943502442044
455,0,454,5,43.872066240620818
456,0,455,5,61.045341470195929
457,0,456,5,38.732675259109847
458,0,457,5,22.576378046919306
459,0,458,5,40.490524334200103
460,0,459,5,42.197068894692030
461,0,460,5,29.328714062812942
462,0,461,5,45.613710068559939
463,0,462,5,57.399986614782755
464,0,463,5,56.617998993027413
465,0,464,5,57.040269675027332
466,0,465,5,51.096143168301445
467,0,466,5,48.389297124874751
468,0,467,5,51.822537718976065
469,0,468,5,59.441095605025772
470,0,469,5,65.813019038894524
471,0,470,5,140.936626626215002
472,0,471,5,112.542625623937468
473,0,472,5,107.799469624885006
474,0,473,5,107.255990519216510
475,0,474,5,109.548820462308043
476,0,475,5,120.000809662640165
477,0,476,5,178.147039354745175
478,0,477,5,175.716018846433911
479,0,478,5,169.896486576745275
480,0,479,5,168.944199135778319
481,0,480,5,169.488180192270249
482,0,481,5,173.225023296940208
483,0,482,5,168.213784786126723
484,0,483,5,199.634128162269292
485,0,484,5,54.004375097982496
486,0,485,5,49.395322982852420
487,0,486,5,49.532778401221066
488,0,487,5,51.059304070110684
489,0,488,5,49.519476785900743
490,0,489,5,48.713460738317053
491,0,490,5,50.766299028883779
492,0,491,5,114.073243981976916
493,0,492,5,111.636853475100409
494,0,493,5,114.236704681914901
495,0,494,5,115.833652626969354
496,0,495,5,114.171899420726220
497,0,496,5,112.642431880820510
498,0,497,5,113.176193421861313
499,0,498,5,170.012655993903650
500,0,499,5,168.895001960396456
501,0,500,5,171.078382204818666
502,0,501,5,173.360798360249191
503,0,502,5,172.073997127218121
504,0,503,5,170.518043703838401
505,0,504,5,173.279600428674115
506,0,505,5,462.517239600024254
507,0,506,5,452.049508464165967
508,0,507,5,426.304900015089061
509,0,508,5,392.145821449193875
510,0,509,5,218.950648491801303
511,0,510,5,380.841720176523609
512,0,511,5,51.363229075284515
513,0,512,5,296.353717772281072
514,0,513,5,318.037434955188985
515,0,514,5,51.464731381249578
516,0,515,5,281.009658550943925
517,0,516,5,172.247281860970617
518,0,517,5,205.780528877638204
519,0,518,5,236.527873494516655
520,0,519,5,126.831564919875404
521,0,520,5,205.453475042781378
522,0,521,5,283.309028370395936
523,0,522,5,270.779592760915591
524,0,523,5,514.214782884564897
525,0,524,5,1164.921842671345530
526,0,525,5,1127.266849868467716
527,0,526,5,1158.493277914914643
528,0,527,5,1133.644761606684824
529,0,528,5,1140.837506876020370
530,0,529,5,1137.675991089342233
531,0,530,5,291.239123130485439
532,0,531,5,297.406325177738950
533,0,532,5,190.875765078200800
534,0,533,5,1152.844130881075898
535,0,534,5,1148.057645476358857
536,0,535,5,1144.144684651686703
537,0,536,5,2596.706755045227510
538,0,537,5,2561.690955235032106
539,0,538,5,2494.176337872730073
540,0,539,5,2378.423866202960653
541,0,540,5,2360.353300050470352
542,0,541,5,2086.388789351197374
543,0,542,5,2167.309189396306010
544,0,543,5,1783.445726287106027
545,0,544,5,1427.413532885090490
546,0,545,5,1586.506084943049927
547,0,546,5,1061.849268412736819
548,0,547,5,833.383667769423937
549,0,548,5,721.882119252955590
550,0,549,5,1859.230538199359444
551,0,550,5,1637.434550151149551
552,0,551,5,2391.499410565817016
553,0,552,5,3057.941499126239250
554,0,553,5,2066.515923413001929
555,0,554,5,862.682950663234237
556,0,555,5,1084.386667923403593
557,0,556,5,452.294131190786800
558,0,557,5,1073.878747678093305
559,0,558,5,1063.486688031528729
560,0,559,5,468.578882955309552
561,0,560,5,771.251525961899347
562,0,561,5,755.402848832385757
563,0,562,5,739.999164227842698
564,0,563,5,724.863016394235615
565,0,564,5,833.814166097844236
566,0,565,5,819.408576847755967
567,0,566,5,804.895216287649873
568,0,567,5,791.251867321832265
569,0,568,5,776.668403641323607
570,0,569,5,764.880057768646793
571,0,570,5,744.158911128005457
572,0,571,5,733.244001615190996
573,0,572,5,718.651476427063017
574,0,573,5,701.753842169780569
575,0,574,5,686.120070845866962
576,0,575,5,436.747164206420166
577,0,576,5,666.026074953995590
578,0,577,5,737.701325724654794
579,0,578,5,1056.892988243401078
580,0,579,5,697.016906334083956
581,0,580,5,1091.286049557425258
582,0,581,5,1129.178011099735386
583,0,582,5,576.100727870951346
584,0,583,5,33.184538524612172
585,0,584,5,119.991035047020091
586,0,585,5,123.531769436996981
587,0,586,5,134.559640302153383
588,0,587,5,146.570991969125544
589,0,588,5,159.333433298579024
590,0,589,5,181.785722571426362
591,0,590,5,32.146182021776070
592,0,591,5,204.681416868683357
593,0,592,5,542.931866464599125
594,0,593,5,500.851274742887881
595,0,594,5,512.224531397621718
596,0,595,5,208.050018334274938
597,0,596,5,209.924065924209799
598,0,597,5,383.880825017133986
599,0,598,5,272.336797808009237
600,0,599,5,238.524399741503771
601,0,600,5,380.115863426091892
602,0,601,5,427.158286568108508
603,0,602,5,307.391106153510179
604,0,603,5,454.759668186798649
605,0,604,5,416.381578715398234
606,0,605,5,286.327986027011889
607,0,606,5,267.451692304878520
608,0,607,5,252.458853700234187
609,0,608,5,228.253274965157999
610,0,609,5,219.315379187255502
611,0,610,5,220.622019379697605
612,0,611,5,1335.860710269212632
613,0,612,5,3488.941862081246200
614,0,613,5,3225.227668631809138
615,0,614,5,3154.641832430828345
616,0,615,5,3124.861134987454079
617,0,616,5,3143.998500616733963
618,0,617,5,3075.504082595906766
619,0,618,5,945.145087327377610
620,0,619,5,3481.820169900710880
621,0,620,5,1075.130831121366782
622,0,621,5,563.369554754292949
623,0,622,5,339.213001100780446
624,0,623,5,63.236071623367685
625,0,624,5,239.620902644737470
626,0,625,5,98.439868453322063
627,0,626,5,76.487465223201866
628,0,627,5,686.348783912182284
629,0,628,5,500.512283311700116
630,0,629,5,2538.470915558687466
631,0,630,5,3020.431207566893590
632,0,631,5,2980.391715104801278
633,0,632,5,2936.376439868799935
634,0,633,5,2887.703442917599659
635,0,634,5,2595.628031361986814
636,0,635,5,2564.217527094902835
637,0,636,5,1923.716092361721394
638,0,637,5,2146.286610167842355
639,0,638,5,1774.203134475575098
640,0,639,5,2482.946731750715117
641,0,640,5,2236.249943727746540
642,0,641,5,2186.509247630342998
643,0,642,5,2030.565013273112072
644,0,643,5,2366.983592623383629
645,0,644,5,2306.136816453785741
646,0,645,5,2245.504162142896803
647,0,646,5,2215.306046357858577
648,0,647,5,2124.653889522769077
649,0,648,5,2085.850205040753281
650,0,649,5,2045.919026395165929
651,0,650,5,152.916794899404607
652,0,651,5,173.264451407274038
653,0,652,5,59.195739744422184
654,0,653,5,54.271029606757921
655,0,654,5,1933.729091416191750
656,0,655,5,1837.654840284647662
657,0,656,5,1717.470570121180117
658,0,657,5,1562.487141780286038
659,0,658,5,1622.292030210146550
660,0,659,5,1805.586861463419382
661,0,660,5,1891.197611725959632
662,0,661,5,2051.383761651446093
663,0,662,5,2133.709728651879686
664,0,663,5,2119.270590720972450
665,0,664,5,2107.017907831175762
666,0,665,5,2091.961511818777581
667,0,666,5,2125.542878396915967
668,0,667,5,1909.314056208075726
669,0,668,5,1788.303995882285562
670,0,669,5,1630.493853199433943
671,0,670,5,1503.640425571338710
672,0,671,5,1348.694572000926428
673,0,672,5,1357.848402863095771
674,0,673,5,1411.399715501487890
675,0,674,5,1454.056853278089875
676,0,675,5,1594.740426134369955
677,0,676,5,1822.660635308078326
678,0,677,5,1939.908907741649728
679,0,678,5,2039.897490845121638
680,0,679,5,2023.922852008239943
681,0,680,5,1881.976530176183815
682,0,681,5,1712.984782305805084
683,0,682,5,1611.562121056912474
684,0,683,5,1493.109482915465833
685,0,684,5,1306.519224542427310
686,0,685,5,1330.021465353618623
687,0,686,5,1693.613759675733945
688,0,687,5,1566.485494285065215
689,0,688,5,1931.082866966054326
690,0,689,5,1822.270201992632110
691,0,690,5,2014.316787155186830
692,0,691,5,2219.019948463601850
693,0,692,5,2153.009637213707720
694,0,693,5,1710.205984772674128
695,0,694,5,2010.277537226280629
696,0,695,5,2031.675886374333459
697,0,696,5,2069.069833332613598
698,0,697,5,2263.393839006313101
699,0,698,5,2197.100349133886994
700,0,699,5,2133.073664543491759
701,0,700,5,2226.380585522447291
702,0,701,5,2183.866639426808888
703,0,702,5,1997.457557368976723
704,0,703,5,2121.132905235670478
705,0,704,5,2207.915296010332895
706,0,705,5,2143.163424126852533
707,0,706,5,2257.969238805007535
708,0,707,5,2256.471594321554221
709,0,708,5,2113.894239647438098
710,0,709,5,2171.845732229032365
711,0,710,5,2191.249743444396245
712,0,711,5,2192.813928780804417
713,0,712,5,2195.501585268682902
714,0,713,5,98.428606333478967
715,0,714,5,2163.342005817060908
716,0,715,5,2158.381470034634731
717,0,716,5,2128.817307453501144
718,0,717,5,2082.539559072588872
719,0,718,5,2092.479279970106290
720,0,719,5,2242.900300947464530
721,0,720,5,2371.143843919230676
722,0,721,5,2300.409711439141120
723,0,722,5,2265.551444741757223
724,0,723,5,2230.890496472848554
725,0,724,5,2126.623521516939491
726,0,725,5,2091.965022383306405
727,0,726,5,2047.031412316275237
728,0,727,5,1956.621323493207456
729,0,728,5,2390.076613282316430
730,0,729,5,2353.071400328462005
731,0,730,5,2318.267463665164087
732,0,731,5,2283.648656372211008
733,0,732,5,2249.228036130893997
734,0,733,5,2214.199264399838739
735,0,734,5,2179.021011587904923
736,0,735,5,2143.979656836870163
737,0,736,5,2108.957570156085239
738,0,737,5,2066.638412993751444
739,0,738,5,2045.039413854980694
740,0,739,5,2186.900859300211323
741,0,740,5,1494.354704509739577
742,0,741,5,60.734877281031423
743,0,742,5,50.526733785347929
744,0,743,5,50.650198795837035
745,0,744,5,288.510594413863487
746,0,745,5,298.031316704683150
747,0,746,5,289.559935166677235
748,0,747,5,134.286279033180165
749,0,748,5,189.226528422768212
750,0,749,5,570.816670980243998
751,0,750,5,533.579907185777984
752,0,751,5,571.192054303997452
753,0,752,5,606.456793164036185
754,0,753,5,635.611481491856352
755,0,754,5,687.639976718040202
756,0,755,5,720.743254496599889
757,0,756,5,761.245677901774684
758,0,757,5,597.450101189572592
759,0,758,5,539.378815017616603
760,0,759,5,547.501408145073356
761,0,760,5,618.602989782750115
762,0,761,5,654.244248322828753
763,0,762,5,689.876793469670929
764,0,763,5,809.991874369417133
765,0,764,5,811.582710169070992
766,0,765,5,815.299125253019383
767,0,766,5,801.773500503159198
768,0,767,5,828.276938293198327
769,0,768,5,831.487808349178636
770,0,769,5,644.011136549782350
771,0,770,5,658.277560013142534
772,0,771,5,503.453756311606355
773,0,772,5,741.412018405901449
774,0,773,5,686.602783433026275
775,0,774,5,685.895303081282350
776,0,775,5,607.839737149698635
777,0,776,5,113.513167070458934
778,0,777,5,111.117721354543278
779,0,778,5,99.495602030203528
780,0,779,5,99.313076344068008
781,0,780,5,188.062946787679010
782,0,781,5,187.069159529632998
783,0,782,5,175.436630886712237
784,0,783,5,176.714675102638154
785,0,784,5,171.787523110356716
786,0,785,5,170.323073697926048
787,0,786,5,169.843456435355023
788,0,787,5,173.690288499851050
789,0,788,5,169.807718464294510
790,0,789,5,42.150107673196118
791,0,790,5,65.714875198416436
792,0,791,5,88.222211833740374
793,0,792,5,60.209213001130628
794,0,793,5,42.821343769856938
795,0,794,5,40.224997808078420
796,0,795,5,38.683675562002627
797,0,796,5,35.185828989527394
798,0,797,5,35.080908395528120
799,0,798,5,39.756364756734548
800,0,799,5,47.863573770901993
801,0,800,5,51.302633042869900
802,0,801,5,55.120299820140076
803,0,802,5,67.232514265959594
804,0,803,5,83.538852324483813
805,0,804,5,106.168768221572677
806,0,805,5,107.261169184254044
807,0,806,5,196.386596480984849
808,0,807,5,192.312142311773385
809,0,808,5,147.267689118292822
810,0,809,5,139.466646920561089
811,0,810,5,135.295167253786275
812,0,811,5,181.367803447510738
813,0,812,5,236.700826058493078
814,0,813,5,194.679060721873839
815,0,814,5,170.346450257248534
816,0,815,5,358.574168983306322
817,0,816,5,1982.663625212961279
818,0,817,5,57.559066140553888
819,0,818,5,66.966198715423445
820,0,819,5,82.748429409617856
821,0,820,5,83.124004931172806
822,0,821,5,81.981374021358931
823,0,822,5,77.027895446733211
824,0,823,5,74.715281555789517
825,0,824,5,65.320575414913080
826,0,825,5,105.403629921633041
827,0,826,5,93.753190480163923
828,0,827,5,74.755676891242004
829,0,828,5,66.475686442245433
830,0,829,5,41.819472892067353
831,0,830,5,39.329830641290393
832,0,831,5,318.163183390775771
833,0,832,5,279.616292865126013
834,0,833,5,211.183023575272699
835,0,834,5,217.582873786539523
836,0,835,5,330.654848602955269
837,0,836,5,366.380279238980222
838,0,837,5,445.340648017510944
839,0,838,5,454.161663184157362
840,0,839,5,462.342800183094425
841,0,840,5,484.075586677467470
842,0,841,5,409.116351411628045
843,0,842,5,378.347752307315886
844,0,843,5,346.427407820434212
845,0,844,5,310.874742760727599
846,0,845,5,252.729092587279922
847,0,846,5,209.216595852578507
