OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
1,0,0,5,5113.371334909449615
2,0,1,5,1866.987874614612110
3,0,2,5,223.946080562971389
4,0,3,5,5006.257037070508886
5,0,4,5,3218.207511113668261
6,0,5,5,4190.604723709353493
7,0,6,5,4610.857875944286207
8,0,7,5,363.613745710100659
9,0,8,5,406.366083800614263
10,0,9,5,449.325635868344250
11,0,10,5,589.958271367702650
12,0,11,5,672.222712129160072
13,0,12,5,2439.543820044259519
14,0,13,5,2377.856980224888048
15,0,14,5,320.902908341974069
16,0,15,5,259.079005330892926
17,0,16,5,1427.608262215072955
18,0,17,5,836.347157948875974
19,0,18,5,1558.484683883779780
20,0,19,5,2085.377027204352089
21,0,20,5,2057.459310851594182
22,0,21,5,1890.924394307430475
23,0,22,5,1831.184717825291955
24,0,23,5,1856.596736839170944
25,0,24,5,224.136037309882369
26,0,25,5,675.037670698846796
27,0,26,5,250.440080129276595
28,0,27,5,261.138792897717963
29,0,28,5,288.798528207790866
30,0,29,5,241.962178424198669
31,0,30,5,240.676925986172535
32,0,31,5,242.848514567521818
33,0,32,5,212.857931053845476
34,0,33,5,163.560847072301073
35,0,34,5,103.495032092332622
36,0,35,5,101.868203081838644
37,0,36,5,132.915595593239004
38,0,37,5,188.039425781543599
39,0,38,5,182.889669213157163
40,0,39,5,636.693778520707951
41,0,40,5,608.788727969855245
42,0,41,5,583.253006557630101
43,0,42,5,560.007317927938516
44,0,43,5,496.630746855455925
45,0,44,5,476.723528823568927
46,0,45,5,692.138905113490864
47,0,46,5,722.749874374421097
48,0,47,5,784.099788239483246
49,0,48,5,853.706781338917267
50,0,49,5,121.644729878822574
51,0,50,5,141.373600562179007
52,0,51,5,106.962862074050065
53,0,52,5,121.940484776946803
54,0,53,5,153.774630533644995
55,0,54,5,3210.800723472862956
56,0,55,5,3319.092685191661985
57,0,56,5,4794.052729342992279
58,0,57,5,4186.217442764749649
59,0,58,5,4129.633418970232924
60,0,59,5,1176.354685352739125
61,0,60,5,1050.010368181641979
62,0,61,5,1157.362956970714777
63,0,62,5,1105.294537078427993
64,0,63,5,159.337490556355704
65,0,64,5,230.934987417277767
66,0,65,5,234.952533820983717
67,0,66,5,687.321840500676444
68,0,67,5,631.460550663531308
69,0,68,5,560.400803179515606
70,0,69,5,528.449482686538204
71,0,70,5,492.347808790782778
72,0,71,5,3709.433806726799503
73,0,72,5,3910.538950815785483
74,0,73,5,1679.922422811850538
75,0,74,5,1577.151480791127142
76,0,75,5,667.520214417065290
77,0,76,5,685.081715002906549
78,0,77,5,1120.855647034437879
79,0,78,5,3005.500317753731906
80,0,79,5,34.829736596290942
81,0,80,5,33.267423852936489
82,0,81,5,31.160198548585708
83,0,82,5,33.218575454840483
84,0,83,5,39.642068300575467
85,0,84,5,116.597548432530076
86,0,85,5,132.525114490386926
87,0,86,5,42.770522008880029
88,0,87,5,172.353554993431771
89,0,88,5,4165.294199771282365
90,0,89,5,2362.726862656919366
91,0,90,5,2164.500766767473124
92,0,91,5,1696.075013215186800
93,0,92,5,1660.915385772731042
94,0,93,5,1643.089987722141359
95,0,94,5,1702.506462625942731
96,0,95,5,1654.651779494496168
97,0,96,5,1664.574982378421737
98,0,97,5,1642.679528105826648
99,0,98,5,1744.850630613208750
100,0,99,5,1988.593410253449520
101,0,100,5,1281.867850526565462
102,0,101,5,2264.570114614075919
103,0,102,5,2513.377163704690247
104,0,103,5,2619.709321424829795
105,0,104,5,2970.334989201580356
106,0,105,5,3080.792959856306425
107,0,106,5,3085.561601550255546
