OID,Field1,X,Y,Island,TMK,Uid
-1,80,-156.955082892000007,21.066648677200000,Molokai,254013011,-156.95508_21.06664
-1,86,-156.953645806999987,21.066466495000000,Molokai,254013023,-156.95364_21.06646
-1,177,-156.952259768000005,21.066091419999999,Molokai,254013043,-156.95225_21.06609
-1,178,-156.952078792000009,21.066015026799999,Molokai,254013044,-156.95207_21.06601
-1,209,-156.979029290000000,21.072643044900001,Molokai,254006021,-156.97902_21.07264
-1,278,-157.030237113999988,21.092967574500001,Molokai,252008002,-157.03023_21.09296
-1,279,-157.033056092999999,21.094585838000000,Molokai,252008004,-157.03305_21.09458
-1,280,-157.033873120999999,21.094962356800000,Molokai,252008005,-157.03387_21.09496
-1,300,-157.034539400000000,21.095212250399999,Molokai,252008006,-157.03453_21.09521
-1,383,-156.953399531000002,21.066406809400000,Molokai,254013003,-156.95339_21.06640
-1,395,-156.772788061999989,21.087830244300001,Molokai,257004008,-156.77278_21.08783
-1,396,-156.773634702999999,21.087237084700000,Molokai,257004009,-156.77363_21.08723
-1,398,-156.774660355000009,21.086582346099998,Molokai,257004019,-156.77466_21.08658
-1,399,-156.791581385999990,21.076443012700000,Molokai,257006008,-156.79158_21.07644
-1,400,-156.791309654000003,21.076650450999999,Molokai,257006009,-156.79130_21.07665
-1,441,-156.964781972999987,21.069159918499999,Molokai,254017056,-156.96478_21.06915
-1,448,-156.988213440999999,21.076584980000000,Molokai,254006035,-156.98821_21.07658
-1,450,-156.988019978000011,21.076495431900000,Molokai,254006053,-156.98801_21.07649
-1,460,-156.981979697000014,21.073686491200000,Molokai,254006065,-156.98197_21.07368
-1,462,-156.979873424000004,21.072996449500000,Molokai,254006068,-156.97987_21.07299
-1,463,-157.011018917999991,21.082735407600001,Molokai,254007002,-157.01101_21.08273
-1,464,-157.011269722999998,21.082866474199999,Molokai,254007003,-157.01126_21.08286
-1,465,-157.011517966000014,21.083006615199999,Molokai,254007004,-157.01151_21.08300
-1,467,-157.012334046999996,21.083348945800001,Molokai,254007007,-157.01233_21.08334
-1,468,-157.012633550999993,21.083450634500000,Molokai,254007008,-157.01263_21.08345
-1,469,-157.012903461000008,21.083537784899999,Molokai,254007009,-157.01290_21.08353
-1,471,-157.012035593000007,21.083859310200001,Molokai,254007012,-157.01203_21.08385
-1,484,-157.009115675000004,21.081914865400002,Molokai,254008002,-157.00911_21.08191
-1,485,-157.009450337000004,21.082033925000001,Molokai,254008003,-157.00945_21.08203
