,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
1,19923,115.84098814390963,28,60.03214285714288,289.2857142857143,0.0,175.20055808927026,129.31321732102046,30.883960790415397,51.373206284604485,76.91884373552371,400.0,46.039501831118976,0.0,6.621949479092332,198.0,113.14285714285714,171.94507454189605,False,Medium,2.0
2,19924,83.52371771044325,26,59.62331868131869,65.1923076923077,0.0,121.34608003497748,101.6478060515266,32.14218519686515,25.882326856549636,178.20376666116331,173.27351563686886,26.345929135506708,61.53846153846154,6.731729808652885,175.15384615384616,171.34615384615384,54.42833836245025,False,Low,3.0
7,20013,135.60826096030323,14,66.9854761904762,142.28571428571428,0.0,147.38423416005648,62.940284259839466,51.562618469925766,288.81118295284017,274.367188425427,325.53391860509885,89.62492542679827,0.0,0.19980019980019975,285.42857142857144,99.0,200.0,False,High,1.0
8,20014,119.54124485611385,12,59.47305555555556,199.25,0.0,152.49687239604643,51.181882062227466,130.34429831782197,60.88753386327026,227.52513336804665,354.6884513487987,28.571247090569795,0.0,8.524808524808526,99.0,240.5,200.0,False,Medium,2.0
13,20152,153.2411490767697,36,65.22111111111113,300.0,0.0,268.695119828731,57.04271441808956,141.35340298435972,162.5408960901572,154.7531098235769,400.0,73.90349612518781,16.666666666666668,1.809301809301809,280.1666666666667,178.75,197.71475062769719,False,High,1.0
19,20335,148.91520422839727,18,78.2377777777778,300.0,0.0,204.6921447401244,21.137710796722224,141.0595157395146,45.331054460863264,57.534869711907476,400.0,287.9393173582728,0.0,2.197802197802198,300.0,198.0,197.59787064297373,False,High,1.0
20,20336,134.58922728377033,34,59.96889355742299,202.94117647058823,0.0,94.66074466842436,58.77397679965985,133.49911673611342,227.7278490917521,190.29971821857305,290.7930581311362,82.27171849060124,17.647058823529413,1.4926250220367867,285.0,183.44117647058823,190.32129677612926,False,High,1.0
22,20341,96.98150932748099,37,56.46896010296011,183.64864864864865,0.0,105.32132340241238,120.59598139198428,29.730715448747752,49.02454202735634,84.07586884218837,298.1132977738919,43.168812040520194,0.0,6.031806031806029,198.0,131.1081081081081,155.55511858876395,False,Low,3.0
23,20345,98.89661751445593,64,51.064374999999956,10.921875,0.0,60.2671792578557,34.77936305267253,129.65729203374121,46.435430765282675,58.73642049711624,108.71333315321147,309.49786185667534,0.0,4.383116883116887,300.0,187.171875,181.8211402171672,False,Medium,2.0
27,20370,45.857483549699765,13,25.738131868131862,0.0,0.0,9.792505899621949,62.475110517015054,78.90660725341822,30.684044105749784,19.223396779697033,19.07398250231458,28.273008831081203,0.0,0.19980019980019975,245.07692307692307,152.30769230769232,16.111049904051047,False,Low,3.0
