Name_ID,Track_ID,Final_Prioity_Score,OSDS_count,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
 : West Moloka'i: T#295: CPs=560,295,60.734713258369396,560,False,Low,3.0
 : East Moloka'i: T#318: CPs=718,318,115.00777600837418,718,False,High,1.0
