Name_ID,BlockGp_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
 :  : BkGp#779: CPs=216,779,64.56470082006867,216,35.09602733686068,6.458333333333333,0.0,39.07120432358489,66.22219643832135,86.89925148158419,26.406635135489662,16.39798927731209,80.35548916000954,86.19755042623963,75.92592592592592,19.634069634069583,205.59722222222223,197.73611111111111,26.47250649496584,False,Low,3.0
 :  : BkGp#787: CPs=234,787,111.7977272690954,234,62.33320757020749,170.32051282051282,0.0,138.54582361400335,93.3113136783177,55.68411893962868,114.92937022540195,181.30331111575387,306.09206999217207,50.90854507821703,7.6923076923076925,5.117958964112798,186.80769230769232,146.2948717948718,165.57581828979357,False,Medium,2.0
 :  : BkGp#788: CPs=39,788,142.30664260319014,39,75.18692307692304,300.0,0.0,180.20788507943686,191.86586058684816,139.76966832603438,37.89215192421889,49.057908927597715,400.0,155.3684849078566,0.0,8.6528855759625,300.0,99.0,197.59787064297393,False,High,1.0
 :  : BkGp#789: CPs=191,789,110.4794492745331,191,54.72349538768396,64.35078534031413,0.0,84.02075577095005,35.954906212021505,132.2225872928954,44.954809148370884,57.09372840193285,163.59073954946592,333.8387880568121,0.0,4.896674006621637,300.0,190.7434554973822,190.80101445354646,False,Low,3.0
 :  : BkGp#829: CPs=344,829,52.63855827776758,344,47.2002699335547,0.0,13.953488372093023,15.87515179521976,68.63565128325148,54.50736929804534,85.47713305366622,24.62497145057347,11.50202480304963,112.10576632286076,0.0,0.6063703738122321,160.6918604651163,145.3343023255814,49.064014689689756,False,Low,3.0
 :  : BkGp#845: CPs=254,845,117.17259158638376,254,61.87815335583042,187.70078740157481,4.133858267716535,133.40832039118845,65.87722742378713,131.58966140130727,101.99388675833433,95.25467161439245,308.879432941936,98.28625361856596,11.023622047244094,3.228267795196923,235.59448818897638,146.61023622047244,172.13000636923198,False,High,1.0
