,BATHS,B_ROOMS,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,Class_type,EFFLUENT,FID,FID_,Field1,Island,NO_BATH,NO_STRUCT,N_FLUX,OSDS_QTY,OSDS_QTY_c,OSDS_QTY_calc,OSDS_TYP,P_FLUX,SOURCE,TMK,TTL_BDRMS,X,Y,commercial,type
14,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,14,29362,29362,Molokai,4.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,251006047,3.0,-157.24786659,21.1652756502, , 
17,0.0,0.0,1.0,0.0,0.0,0.0, ,200.0,17,29370,29370,Molokai,4.0,2.0,0.045798,2.0,2.0,0.0,Cesspool,0.01249,DWELDAT Database,251006075,1.0,-157.250141702,21.1750206055, , 
56,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,56,29470,29470,Molokai,1.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,252002024,3.0,-157.102748848,21.1653244087, , 
87,0.0,0.0,1.0,0.0,0.0,1.0, ,1000.0,87,29511,29511,Molokai,6.0,2.0,0.116389,2.0,2.0,1.0,Cesspool,0.035011,IWS & CP Database,254013018,5.0,-156.954620979,21.0673321532, , 
101,0.0,0.0,1.0,0.0,0.0,0.0, ,1400.0,101,29535,29535,Molokai,4.0,2.0,0.32059,2.0,2.0,0.0,Cesspool,0.087433,DWELDAT Database,252022018,7.0,-157.06899791,21.168213499, , 
197,0.0,0.0,1.0,0.0,0.0,0.0, ,800.0,197,29677,29677,Molokai,2.0,1.0,0.183194,1.0,1.0,0.0,Cesspool,0.049962,DWELDAT Database,252017031,4.0,-157.06028503,21.1772685875, , 
328,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,328,29835,29835,Molokai,4.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,254010024,3.0,-156.996444428,21.0854827566, , 
421,0.0,0.0,1.0,0.0,0.0,0.0, ,800.0,421,29966,29966,Molokai,1.0,1.0,0.183194,1.0,1.0,0.0,Cesspool,0.049962,DWELDAT Database,252025013,4.0,-157.085076325,21.1717025027, , 
438,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,438,29985,29985,Molokai,2.0,2.0,0.137396,2.0,2.0,0.0,Cesspool,0.037471,DWELDAT Database,252027015,3.0,-157.102000183,21.1701501509, , 
639,0.0,0.0,1.0,0.0,0.0,0.0, ,400.0,639,30291,30291,Molokai,1.0,1.0,0.091597,1.0,1.0,0.0,Cesspool,0.024981,DWELDAT Database,252013029,2.0,-157.014735151,21.155124334, , 
712,0.0,0.0,1.0,0.0,0.0,0.0, ,200.0,712,30376,30376,Molokai,1.0,1.0,0.045798,1.0,1.0,0.0,Cesspool,0.01249,DWELDAT Database,252016052,1.0,-157.006935135,21.1605165992, , 
727,0.0,0.0,1.0,0.0,0.0,0.0, ,400.0,727,30400,30400,Molokai,1.0,1.0,0.091597,1.0,1.0,0.0,Cesspool,0.024981,DWELDAT Database,252030023,2.0,-157.050791404,21.1666178103, , 
738,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,738,30411,30411,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,252030041,3.0,-157.052068807,21.1676759797, , 
751,0.0,0.0,1.0,0.0,0.0,0.0, ,2400.0,751,30429,30429,Molokai,5.0,3.0,0.549582,3.0,3.0,0.0,Cesspool,0.149886,DWELDAT Database,258015001,12.0,-156.721692929,21.1516846956, , 
776,0.0,0.0,1.0,0.0,0.0,0.0, ,400.0,776,30470,30470,Molokai,2.0,2.0,0.091597,2.0,2.0,0.0,Cesspool,0.024981,DWELDAT Database,254004034,2.0,-156.998965681,21.0866291051, , 
788,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,788,30483,30483,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,254004084,3.0,-156.998795081,21.0857266808, , 
