,BATHS,B_ROOMS,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,Class_type,EFFLUENT,FID,FID_,Field1,Island,NO_BATH,NO_STRUCT,N_FLUX,OSDS_QTY,OSDS_QTY_c,OSDS_QTY_calc,OSDS_TYP,P_FLUX,SOURCE,TMK,TTL_BDRMS,X,Y,commercial,type
805,0.0,0.0,1.0,0.0,0.0,1.0, ,800.0,805,30512,30512,Molokai,4.0,1.0,0.093111,2.0,2.0,1.0,Cesspool,0.028009,IWS & CP Database,254017011,4.0,-156.964258775,21.0689377305, , 
894,0.0,0.0,1.0,0.0,0.0,0.0, ,200.0,894,30631,30631,Molokai,1.0,1.0,0.045798,1.0,1.0,0.0,Cesspool,0.01249,DWELDAT Database,254016034,1.0,-156.967283828,21.0768204218, , 
899,0.0,0.0,1.0,0.0,0.0,0.0, ,400.0,899,30641,30641,Molokai,2.0,1.0,0.091597,1.0,1.0,0.0,Cesspool,0.024981,DWELDAT Database,252032060,2.0,-157.035009573,21.1016844216, , 
906,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,906,30667,30667,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,254014082,3.0,-156.943179483,21.0683673236, , 
932,0.0,0.0,1.0,0.0,0.0,0.0, ,200.0,932,30745,30745,Molokai,2.0,1.0,0.045798,1.0,1.0,0.0,Cesspool,0.01249,DWELDAT Database,257004063,1.0,-156.782136811,21.0850137195, , 
955,0.0,0.0,1.0,0.0,0.0,0.0, ,900.0,955,30782,30782,Molokai,1.0,1.0,0.206093,1.0,1.0,0.0,Cesspool,0.056207,DWELDAT Database,256007058,0.0,-156.878330435,21.0550719767, , 
978,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,978,30809,30809,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,257003011,3.0,-156.757187035,21.0984851171, , 
1057,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,1057,30915,30915,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,252033019,3.0,-157.036481023,21.1016188651, , 
1058,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,1058,30916,30916,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,252033016,3.0,-157.037808397,21.101596237, , 
1078,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,1078,30951,30951,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,252033042,3.0,-157.039387374,21.1018215375, , 
1080,0.0,0.0,1.0,0.0,0.0,0.0, ,400.0,1080,30953,30953,Molokai,1.0,1.0,0.091597,1.0,1.0,0.0,Cesspool,0.024981,DWELDAT Database,252033031,2.0,-157.037856453,21.1007987818, , 
1084,0.0,0.0,1.0,0.0,0.0,0.0, ,800.0,1084,30957,30957,Molokai,2.0,1.0,0.183194,1.0,1.0,0.0,Cesspool,0.049962,DWELDAT Database,252033028,4.0,-157.037930128,21.0995674429, , 
1086,0.0,0.0,1.0,0.0,0.0,0.0, ,800.0,1086,30960,30960,Molokai,4.0,1.0,0.183194,1.0,1.0,0.0,Cesspool,0.049962,DWELDAT Database,252032019,4.0,-157.032598944,21.1037766508, , 
1091,0.0,0.0,1.0,0.0,0.0,0.0, ,800.0,1091,30966,30966,Molokai,2.0,1.0,0.183194,1.0,1.0,0.0,Cesspool,0.049962,DWELDAT Database,252032008,4.0,-157.033164936,21.1004532405, , 
1093,0.0,0.0,1.0,0.0,0.0,0.0, ,400.0,1093,30970,30970,Molokai,1.0,1.0,0.091597,1.0,1.0,0.0,Cesspool,0.024981,DWELDAT Database,252032064,2.0,-157.034208736,21.1026163189, , 
1094,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,1094,30971,30971,Molokai,2.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,252032063,3.0,-157.034012892,21.1023004118, , 
1097,0.0,0.0,1.0,0.0,0.0,0.0, ,800.0,1097,30975,30975,Molokai,2.0,1.0,0.183194,1.0,1.0,0.0,Cesspool,0.049962,DWELDAT Database,252032030,4.0,-157.035280211,21.1030643955, , 
