POINTID,END_X,END_Y
1,-157.25007,21.190197
2,-157.083845,21.191964
3,-157.080288,21.190221
4,-157.078328,21.190137
5,-157.076025,21.190154
6,-157.102114,21.195644
7,-157.076072,21.190175
8,-157.250227,21.186929
9,-157.102343,21.195672
10,-157.09538,21.195668
11,-157.088817,21.19183
12,-157.073654,21.190159
13,-157.069311,21.189866
14,-157.251216,21.185937
15,-157.250422,21.185939
16,-157.250216,21.186469
17,-157.250326,21.187173
18,-157.088891,21.192995
19,-157.085053,21.192014
20,-157.067058,21.188455
21,-157.25088,21.185933
22,-157.111384,21.195838
23,-157.100734,21.195672
24,-157.085605,21.191966
25,-157.065356,21.187115
26,-157.063298,21.187092
27,-157.250612,21.185947
28,-157.250507,21.187885
29,-157.113546,21.195867
30,-157.109309,21.195828
31,-157.107143,21.195805
32,-157.250329,21.186778
33,-157.25051,21.187553
34,-157.074167,21.190244
35,-157.251407,21.185939
36,-157.250622,21.186011
37,-157.115568,21.195829
38,-157.080288,21.190822
39,-157.076601,21.190323
40,-157.063946,21.187099
41,-157.05989,21.187053
42,-157.250924,21.185934
43,-157.076714,21.190349
44,-157.057141,21.187021
45,-157.252805,21.185953
46,-157.250416,21.186633
47,-157.101698,21.19576
48,-157.064398,21.187117
49,-157.051981,21.18727
50,-157.25188,21.185944
51,-157.100041,21.195748
52,-157.077014,21.190413
53,-157.062915,21.187098
54,-157.25321,21.181844
55,-157.253215,21.182825
56,-157.252805,21.185953
57,-157.251417,21.185939
58,-157.250689,21.186129
59,-157.098543,21.195714
60,-157.088861,21.19326
61,-157.072752,21.190321
62,-157.064977,21.187156
63,-157.252042,21.185946
64,-157.114026,21.196018
65,-157.104318,21.195886
66,-157.096455,21.195747
67,-157.09,21.193649
68,-157.068884,21.189013
69,-157.066769,21.18856
70,-157.063685,21.187159
71,-157.060808,21.187064
72,-157.252968,21.185383
73,-157.251652,21.185941
74,-157.25099,21.188114
75,-157.086587,21.191954
76,-157.064185,21.187184
77,-157.25346,21.182833
78,-157.251406,21.185992
79,-157.250747,21.186254
80,-157.104931,21.195966
81,-157.087881,21.191904
82,-157.080782,21.191556
83,-157.066027,21.187633
84,-157.253327,21.180226
85,-157.253551,21.182104
86,-157.252983,21.184172
87,-157.252099,21.185946
88,-157.251248,21.186084
89,-157.105281,21.196016
90,-157.103496,21.195946
91,-157.084106,21.192195
92,-157.07858,21.190553
93,-157.076874,21.190649
94,-157.068685,21.188759
95,-157.065361,21.187261
96,-157.064,21.187227
97,-157.061631,21.187176
98,-157.061393,21.188305
99,-157.253299,21.176961
100,-157.253312,21.179542
101,-157.252972,21.18509
102,-157.11457,21.196166
103,-157.105644,21.196064
104,-157.100355,21.195884
105,-157.075832,21.190659
106,-157.066001,21.187359
107,-157.06478,21.187275
108,-157.063505,21.187246
109,-157.253177,21.178021
110,-157.253449,21.179802
111,-157.253581,21.18069
112,-157.113007,21.196177
113,-157.099143,21.195877
114,-157.097297,21.195867
115,-157.074768,21.190641
