,FID,TMK,OSDS_QTY,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,EFFLUENT,N_FLUX,P_FLUX,SOURCE,NO_STRUCT,TTL_BDRMS,NO_BATH,X,Y,Island,OSDS_TYP,B_ROOMS,BATHS,Class_type,commercial,type,OSDS_QTY_calc
0,0,251003011,77.0,0.0,0.0,0.0,1.0,19400.0,4.442455,1.211578,Exploded,77.0,97.0,0.0,-157.246135832,21.1902878931,Molokai,Cesspool,0.0,0.0, , , ,77.0
1,1,252014059,13.0,0.0,0.0,0.0,1.0,7800.0,1.786142,0.487129,Exploded,13.0,39.0,26.0,-157.009802281,21.1584008573,Molokai,Cesspool,0.0,0.0, , , ,13.0
2,2,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999646657,21.0798743095,Molokai,Cesspool,0.0,0.0, , , ,0.0
3,3,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999575273,21.0799932826,Molokai,Cesspool,0.0,0.0, , , ,0.0
4,4,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999534822,21.0800932199,Molokai,Cesspool,0.0,0.0, , , ,0.0
5,5,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999465818,21.0802145724,Molokai,Cesspool,0.0,0.0, , , ,0.0
6,6,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999439644,21.0803406839,Molokai,Cesspool,0.0,0.0, , , ,0.0
7,7,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999546719,21.0804453801,Molokai,Cesspool,0.0,0.0, , , ,0.0
8,8,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999691866,21.0803906525,Molokai,Cesspool,0.0,0.0, , , ,0.0
9,9,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999768009,21.0802788179,Molokai,Cesspool,0.0,0.0, , , ,0.0
10,10,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999829875,21.0801598448,Molokai,Cesspool,0.0,0.0, , , ,0.0
11,11,254002018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-156.999913156,21.0800337334,Molokai,Cesspool,0.0,0.0, , , ,0.0
12,12,252014059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Exploded,0.0,0.0,0.0,-157.009536585,21.1591368987,Molokai,Cesspool,0.0,0.0, , , ,0.0
