,BATHS,B_ROOMS,CLASS_I,CLASS_II,CLASS_III,CLASS_IV,Class_type,EFFLUENT,FID,FID_,Field1,Island,NO_BATH,NO_STRUCT,N_FLUX,OSDS_QTY,OSDS_QTY_c,OSDS_QTY_calc,OSDS_TYP,P_FLUX,SOURCE,TMK,TTL_BDRMS,X,Y,commercial,type
0,0.0,0.0,0.0,0.0,0.0,1.0, ,900.0,0,29333,29333,Molokai,2.0,1.0,0.206093,1.0,1.0,1.0,Cesspool,0.056207,Cesspool Database,251002036,0.0,-157.131945515,21.144227322, , 
1,0.0,0.0,0.0,0.0,0.0,1.0, ,400.0,1,29335,29335,Molokai,2.0,1.0,0.091597,1.0,1.0,1.0,Cesspool,0.024981,DWELDAT Database,251002044,2.0,-157.257805957,21.1479159589, , 
2,0.0,0.0,0.0,0.0,0.0,77.0, ,19400.0,2,29336,29336,Molokai,0.0,77.0,4.442455,77.0,77.0,77.0,Cesspool,1.211578,DWELDAT Database,251003011,97.0,-157.246135832,21.1902878931, , 
3,0.0,0.0,0.0,0.0,0.0,1.0, ,900.0,3,29338,29338,Molokai,1.0,1.0,0.206093,1.0,1.0,1.0,Cesspool,0.056207,DWELDAT Database,251004008,0.0,-157.208562065,21.1570360599, , 
4,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,4,29341,29341,Molokai,3.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,Cesspool Database,251004020,3.0,-157.219229951,21.1773825601, , 
5,0.0,0.0,0.0,0.0,0.0,1.0, ,900.0,5,29342,29342,Molokai,2.0,1.0,0.206093,1.0,1.0,1.0,Cesspool,0.056207,Cesspool Database,251004023,0.0,-157.210939878,21.1725311087, , 
6,0.0,0.0,0.0,0.0,0.0,1.0, ,900.0,6,29343,29343,Molokai,2.0,1.0,0.206093,1.0,1.0,1.0,Cesspool,0.056207,Cesspool Database,251004027,0.0,-157.208142182,21.166625641, , 
7,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,7,29344,29344,Molokai,3.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,DWELDAT Database,251005001,3.0,-157.24633015,21.1831919436, , 
8,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,8,29345,29345,Molokai,2.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,DWELDAT Database,251005003,3.0,-157.245873819,21.1831720788, , 
9,0.0,0.0,0.0,0.0,0.0,1.0, ,800.0,9,29346,29346,Molokai,2.0,1.0,0.183194,1.0,1.0,1.0,Cesspool,0.049962,DWELDAT Database,251005005,4.0,-157.245437168,21.1831273723, , 
10,0.0,0.0,0.0,0.0,0.0,1.0, ,800.0,10,29347,29347,Molokai,3.0,1.0,0.183194,1.0,1.0,1.0,Cesspool,0.049962,DWELDAT Database,251005012,4.0,-157.243896021,21.1832124341, , 
11,0.0,0.0,0.0,0.0,0.0,1.0, ,1000.0,11,29348,29348,Molokai,4.0,1.0,0.228992,1.0,1.0,1.0,Cesspool,0.062453,DWELDAT Database,251005016,5.0,-157.243012908,21.1832299351, , 
12,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,12,29351,29351,Molokai,3.0,2.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,Cesspool Database,251006007,3.0,-157.228361333,21.1729541042, , 
13,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,13,29352,29352,Molokai,4.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,Cesspool Database,251006008,3.0,-157.22915496,21.172329431, , 
14,0.0,0.0,1.0,0.0,0.0,0.0, ,600.0,14,29362,29362,Molokai,4.0,1.0,0.137396,1.0,1.0,0.0,Cesspool,0.037471,DWELDAT Database,251006047,3.0,-157.24786659,21.1652756502, , 
15,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,15,29364,29364,Molokai,3.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,Cesspool Database,251006063,3.0,-157.257528248,21.1670862932, , 
16,0.0,0.0,0.0,0.0,0.0,2.0, ,2000.0,16,29368,29368,Molokai,7.0,2.0,0.457985,2.0,2.0,2.0,Cesspool,0.124905,DWELDAT Database,251006072,10.0,-157.252253325,21.1728862093, , 
17,0.0,0.0,1.0,0.0,0.0,0.0, ,200.0,17,29370,29370,Molokai,4.0,2.0,0.045798,2.0,2.0,0.0,Cesspool,0.01249,DWELDAT Database,251006075,1.0,-157.250141702,21.1750206055, , 
18,0.0,0.0,0.0,0.0,0.0,1.0, ,400.0,18,29384,29384,Molokai,3.0,1.0,0.091597,1.0,1.0,1.0,Cesspool,0.024981,DWELDAT Database,251006109,2.0,-157.236508845,21.1801664802, , 
19,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,19,29387,29387,Molokai,3.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,DWELDAT Database,251006114,3.0,-157.24170008,21.1823621559, , 
20,0.0,0.0,0.0,0.0,0.0,1.0, ,400.0,20,29391,29391,Molokai,2.0,1.0,0.091597,1.0,1.0,1.0,Cesspool,0.024981,DWELDAT Database,251006124,2.0,-157.234690528,21.1812457486, , 
21,0.0,0.0,0.0,0.0,0.0,1.0, ,400.0,21,29398,29398,Molokai,2.0,1.0,0.091597,1.0,1.0,1.0,Cesspool,0.024981,DWELDAT Database,251006140,2.0,-157.23121867,21.1758200441, , 
22,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,22,29399,29399,Molokai,0.0,0.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,Cesspool Database,251006141,3.0,-157.231360956,21.1767915874, , 
23,0.0,0.0,0.0,0.0,0.0,1.0, ,400.0,23,29401,29401,Molokai,2.0,1.0,0.091597,1.0,1.0,1.0,Cesspool,0.024981,DWELDAT Database,251006145,2.0,-157.231814524,21.1798623519, , 
24,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,24,29404,29404,Molokai,2.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,IWS Database,251006148,3.0,-157.233481594,21.1775410465, , 
25,0.0,0.0,0.0,0.0,0.0,1.0, ,600.0,25,29405,29405,Molokai,3.0,1.0,0.137396,1.0,1.0,1.0,Cesspool,0.037471,DWELDAT Database,251006150,3.0,-157.233466572,21.1757262406, , 
26,0.0,0.0,0.0,0.0,0.0,1.0, ,900.0,26,29416,29416,Molokai,3.0,1.0,0.206093,1.0,1.0,1.0,Cesspool,0.056207,Cesspool Database,251007032,0.0,-157.272200937,21.1572614522, , 
27,0.0,0.0,0.0,0.0,0.0,2.0, ,900.0,27,29421,29421,Molokai,3.0,1.0,0.206093,2.0,2.0,2.0,Cesspool,0.056207,Cesspool Database,251007041,0.0,-157.27072669,21.1532579356, , 
28,0.0,0.0,0.0,0.0,0.0,1.0, ,400.0,28,29426,29426,Molokai,2.0,1.0,0.091597,1.0,1.0,1.0,Cesspool,0.024981,DWELDAT Database,251007053,2.0,-157.267581614,21.1593834472, , 
29,0.0,0.0,0.0,0.0,0.0,2.0, ,600.0,29,29427,29427,Molokai,5.0,2.0,0.137396,2.0,2.0,2.0,Cesspool,0.037471,DWELDAT Database,251007054,3.0,-157.266604184,21.1599320664, , 
