X,Y,objectid,island,tmk,bldgval,bldexem,pittcode,homeownr,gisacres,osds_qty,class_i,class_ii,class_iii,class_iv,effluent,n_flux,p_flux,commercial,source,no_struct,ttl_bdrms,no_bath,prmt_no,prmt_id,uic_no,inject,wwtp,class,type,ownr_typ,wwtp_ownr,contact,eng,op_drc,comments
-157.069059024515,21.1674669829208,1,Molokai,252023001,33200,33200,300,N,0.4262009,1,1,0,0,0,400,0.001514,0.003028, ,IWS Database,0,2,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.069155733719,21.16706006607,2,Molokai,252023036,61500,61500,300,N,0.25767394,1,0,0,0,1,600,0.1373955,0.0374715,small gov't,TMK Database,0,0,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.213891139363,21.1998289816607,3,Molokai,251002001,787600,787600,999,N,4752.02734717,10,0,0,0,10,19600,4.488253,1.224069, ,DWELDAT Database,10,98,10,-9999,-9999, , , ,-9999, , , , , , ,Appears to be an error in the TMK location
-157.157369969282,21.1423582097268,4,Molokai,251002013,112400,112400,400,N,0.14183079,1,0,0,0,1,900,0.20609325,0.05620725,small business,TMK Database,0,0,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.214142105096,21.1311472846651,5,Molokai,251002027,6495400,0,700,N,12.45769633,1,0,0,0,1,900,0.20609325,0.05620725,small business,TMK Database,0,0,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.131943634992,21.1442353067018,6,Molokai,251002036,388000,0,500,N,14.57101107,1,0,0,0,1,900,0.20609325,0.05620725,small business,Cesspool Database,1,0,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.155551622257,21.1409873256972,7,Molokai,251002038,397000,397000,500,N,0.05949403,1,0,0,0,1,900,0.20609325,0.05620725,small business,TMK Database,0,0,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.257803374917,21.1479241826866,8,Molokai,251002044,326400,0,500,N,60.54179467,1,0,0,0,1,400,0.091597,0.024981, ,DWELDAT Database,1,2,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.246133657528,21.1902959439643,9,Molokai,251003011,23089600,1090000,999,Y,8.77880663,77,0,0,0,77,19400,4.4424545,1.2115785, ,DWELDAT Database,77,97,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.205042560887,21.1563839153499,10,Molokai,251004006,234500,0,500,N,65.91749233,1,1,0,0,0,600,0.002271,0.004542, ,IWS Database,1,3,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.208559923161,21.1570441347186,11,Molokai,251004008,162600,0,500,N,37.67197933,1,0,0,0,1,900,0.20609325,0.05620725,small business,DWELDAT Database,1,0,1,-9999,-9999, , , ,-9999, , , , , , , 
-157.2774308888,21.1140253239646,12,Molokai,251002030,0,0,999,N,6162.26593798,1,1,0,0,0,1200,0.004542,0.009084, ,IWS Database,0,6,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.221408421956,21.1786889903499,13,Molokai,251004019,306500,306500,500,Y,30.06394925,1,0,0,0,1,600,0.1373955,0.0374715, ,TMK Database,0,3,0,-9999,-9999, , , ,-9999, , , , , , , 
-157.219227867611,21.1773905817443,14,Molokai,251004020,508300,300000,500,Y,33.400663,1,0,0,0,1,600,0.1373955,0.0374715, ,Cesspool Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.21093781413,21.1725391281924,15,Molokai,251004023,218900,0,500,N,43.36998154,1,0,0,0,1,900,0.20609325,0.05620725,small business,Cesspool Database,1,0,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.208140098771,21.1666336763859,16,Molokai,251004027,305900,0,500,N,45.18408918,1,0,0,0,1,900,0.20609325,0.05620725,small business,Cesspool Database,1,0,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.246327942848,21.1832000171511,17,Molokai,251005001,295300,0,100,N,0.23092943,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.245871614562,21.1831801505777,18,Molokai,251005003,254600,254600,100,Y,0.28505484,1,0,0,0,1,600,0.1373955,0.0374715, ,DWELDAT Database,1,3,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.245434965675,21.1831354432187,19,Molokai,251005005,325900,0,100,N,0.32368534,1,0,0,0,1,800,0.183194,0.049962, ,DWELDAT Database,1,4,2,-9999,-9999, , , ,-9999, , , , , , , 
-157.243893828521,21.1832205008154,20,Molokai,251005012,315700,300000,100,Y,0.34090947,1,0,0,0,1,800,0.183194,0.049962, ,DWELDAT Database,1,4,3,-9999,-9999, , , ,-9999, , , , , , , 
-157.243010720274,21.183237999175,21,Molokai,251005016,352200,0,100,N,0.37085765,1,0,0,0,1,1000,0.2289925,0.0624525, ,DWELDAT Database,1,5,4,-9999,-9999, , , ,-9999, , , , , , , 
