,Grid_ID,Flikr_X,Flikr_Y,Flikr_ID,Island,Flikr_ID_statewide
438,120_146,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
439,120_147,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
440,120_148,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
441,120_149,-157.000931371,21.0802425282,flk_1885,Maui,flk_1885_Maui
442,120_150,-157.000931371,21.0802425282,flk_1885,Maui,flk_1885_Maui
443,120_151,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
444,120_152,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
445,120_153,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
446,120_154,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
447,120_155,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
448,121_145,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
449,121_146,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
450,121_147,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
451,121_148,-157.003336682,21.0802708527,flk_1884,Maui,flk_1884_Maui
452,121_149,-157.000931371,21.0802425282,flk_1885,Maui,flk_1885_Maui
453,121_150,-157.000931371,21.0802425282,flk_1885,Maui,flk_1885_Maui
454,121_151,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
455,121_152,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
456,121_153,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
457,121_317,-156.789280197,21.0776166517,flk_1887,Maui,flk_1887_Maui
458,122_148,-157.000931371,21.0802425282,flk_1885,Maui,flk_1885_Maui
459,122_149,-157.000931371,21.0802425282,flk_1885,Maui,flk_1885_Maui
460,122_150,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
461,122_151,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
462,122_152,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
463,122_153,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
464,123_150,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
465,123_151,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
466,123_152,-156.998526064,21.0802141696,flk_1886,Maui,flk_1886_Maui
467,123_156,-156.996151028,21.0779282742,flk_1876,Maui,flk_1876_Maui
468,123_157,-156.996151028,21.0779282742,flk_1876,Maui,flk_1876_Maui
469,123_158,-156.996151028,21.0779282742,flk_1876,Maui,flk_1876_Maui
470,123_181,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
471,123_183,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
472,123_184,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
473,123_186,-156.969785334,21.070841343,flk_1853,Maui,flk_1853_Maui
474,123_312,-156.801404546,21.071001249,flk_1861,Maui,flk_1861_Maui
475,123_314,-156.794156705,21.0731648385,flk_1871,Maui,flk_1871_Maui
476,124_164,-156.991340506,21.0778713934,flk_1878,Maui,flk_1878_Maui
477,124_165,-156.988965624,21.0755854086,flk_1868,Maui,flk_1868_Maui
478,124_166,-156.98656041,21.0755568864,flk_1869,Maui,flk_1869_Maui
479,124_181,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
480,124_188,-156.969785334,21.070841343,flk_1853,Maui,flk_1853_Maui
481,124_316,-156.794156705,21.0731648385,flk_1871,Maui,flk_1871_Maui
482,125_164,-156.988965624,21.0755854086,flk_1868,Maui,flk_1868_Maui
483,125_165,-156.98656041,21.0755568864,flk_1869,Maui,flk_1869_Maui
484,125_166,-156.98656041,21.0755568864,flk_1869,Maui,flk_1869_Maui
485,125_169,-156.984155199,21.0755283302,flk_1870,Maui,flk_1870_Maui
486,125_180,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
487,125_182,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
488,125_183,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
489,125_186,-156.969785334,21.070841343,flk_1853,Maui,flk_1853_Maui
490,125_188,-156.969785334,21.070841343,flk_1853,Maui,flk_1853_Maui
491,125_194,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
492,125_315,-156.794156705,21.0731648385,flk_1871,Maui,flk_1871_Maui
493,126_165,-156.98656041,21.0755568864,flk_1869,Maui,flk_1869_Maui
494,126_166,-156.98656041,21.0755568864,flk_1869,Maui,flk_1869_Maui
495,126_180,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
496,126_182,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
497,126_186,-156.969785334,21.070841343,flk_1853,Maui,flk_1853_Maui
498,126_189,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
499,126_194,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
500,126_195,-156.960195715,21.0684685328,flk_1843,Maui,flk_1843_Maui
501,126_199,-156.955416469,21.066153209,flk_1830,Maui,flk_1830_Maui
502,126_315,-156.794156705,21.0731648385,flk_1871,Maui,flk_1871_Maui
503,127_166,-156.98656041,21.0755568864,flk_1869,Maui,flk_1869_Maui
504,127_167,-156.984155199,21.0755283302,flk_1870,Maui,flk_1870_Maui
505,127_187,-156.969785334,21.070841343,flk_1853,Maui,flk_1853_Maui
506,127_189,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
507,127_195,-156.960195715,21.0684685328,flk_1843,Maui,flk_1843_Maui
508,127_199,-156.955416469,21.066153209,flk_1830,Maui,flk_1830_Maui
509,127_200,-156.955416469,21.066153209,flk_1830,Maui,flk_1830_Maui
510,128_188,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
511,128_189,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
512,128_193,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
513,128_195,-156.960195715,21.0684685328,flk_1843,Maui,flk_1843_Maui
514,128_198,-156.957821486,21.0661821601,flk_1829,Maui,flk_1829_Maui
515,128_314,-156.798999696,21.070970076,flk_1862,Maui,flk_1862_Maui
516,129_179,-156.972190448,21.0708700967,flk_1852,Maui,flk_1852_Maui
517,129_187,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
518,129_189,-156.967380224,21.0708125553,flk_1854,Maui,flk_1854_Maui
519,129_192,-156.962600776,21.0684974193,flk_1842,Maui,flk_1842_Maui
520,129_194,-156.960195715,21.0684685328,flk_1843,Maui,flk_1843_Maui
