,OID_,pop10,Area_m2,Area_km2,BlockGp_ID,In2017Zone,Island,name
0,0,2546,478684.170359,0.478684170359,1,200,Oahu, 
1,1,1682,2740960.37224,2.74096037224,2,200,Oahu, 
2,2,1351,82578.86115739998,0.0825788611574,3,200,Oahu, 
3,3,923,138329.044315,0.138329044315,4,200,Oahu, 
4,4,3040,2074568.90856,2.07456890856,5,200,Oahu, 
5,5,2505,480542.213082,0.480542213082,6,200,Oahu, 
6,6,1127,432420.450581,0.432420450581,7,200,Oahu, 
7,7,1287,2549879.91056,2.54987991056,8,1,Oahu, 
8,8,2142,688475.002106,0.688475002106,9,1,Oahu, 
9,9,2037,673636.080459,0.673636080459,10,1,Oahu, 
10,10,1084,568906.917615,0.568906917615,11,1,Oahu, 
11,11,2402,959868.572791,0.959868572791,12,200,Oahu, 
12,12,917,545589.388068,0.545589388068,13,200,Oahu, 
13,13,1081,306384.443915,0.306384443915,14,200,Oahu, 
14,14,19,5971331.3422,5.9713313422,15,1,Oahu, 
15,15,1609,1237819.20406,1.23781920406,16,200,Oahu, 
16,16,2346,1886609.30056,1.88660930056,17,1,Oahu, 
17,17,1237,918433.617249,0.918433617249,18,1,Oahu, 
18,18,1607,1533475.10215,1.53347510215,19,200,Oahu, 
19,19,459,1203211.96536,1.20321196536,20,200,Oahu, 
20,20,3070,705644.113883,0.705644113883,21,200,Oahu, 
21,21,2194,1020573.27212,1.02057327212,22,200,Oahu, 
22,22,2029,32237242.6912,32.2372426912,23,200,Oahu, 
23,23,1090,299000.800013,0.299000800013,24,200,Oahu, 
24,24,1981,265412.325509,0.265412325509,25,200,Oahu, 
25,25,277,46923129.574,46.923129574,26,200,Oahu, 
26,26,470,7191514.4156,7.1915144156,27,200,Oahu, 
27,27,704,9017340.74109,9.01734074109,28,200,Oahu, 
28,28,4104,1630834.08562,1.63083408562,29,1,Oahu, 
29,29,2659,608338.104921,0.608338104921,30,1,Oahu, 
30,30,46,3028027.9068,3.0280279068,31,200,Oahu, 
31,31,2196,736337.259974,0.736337259974,32,200,Oahu, 
32,32,0,5793569.62458,5.79356962458,33,200,Oahu, 
33,33,1572,2291223.71777,2.29122371777,34,200,Oahu, 
34,34,1487,346490.325011,0.346490325011,35,200,Oahu, 
35,35,1849,145980.02053,0.14598002053,36,200,Oahu, 
36,36,2397,65393.055793,0.065393055793,37,200,Oahu, 
37,37,1515,49933.5886189,0.0499335886189,38,200,Oahu, 
38,38,1100,162911.055772,0.162911055772,39,200,Oahu, 
39,39,1668,85754.3089111,0.0857543089111,40,200,Oahu, 
40,40,938,1340499.43592,1.34049943592,41,1,BI, 
41,41,687,613670.516361,0.613670516361,42,1,BI, 
42,42,1365,1858110.3283,1.8581103283,43,1,BI, 
43,43,754,459957.311377,0.459957311377,44,1,BI, 
44,44,2338,2268593.74133,2.26859374133,45,1,BI, 
45,45,1086,937679.682498,0.937679682498,46,1,BI, 
46,46,1326,39984152.271,39.984152271,47,200,BI, 
47,47,1996,622645.634489,0.622645634489,48,200,Oahu, 
48,48,2329,434994.349115,0.434994349115,49,200,Oahu, 
49,49,1751,610652.128883,0.610652128883,50,200,Oahu, 
50,50,1711,313590.304986,0.313590304986,51,200,Oahu, 
51,51,2399,673656.257879,0.673656257879,52,200,Oahu, 
52,52,2169,482714.475646,0.482714475646,53,200,Oahu, 
53,53,2087,494626.511591,0.494626511591,54,200,Oahu, 
54,54,1864,107265.871834,0.107265871834,55,200,Oahu, 
55,55,1704,482526.801558,0.482526801558,56,200,Oahu, 
56,56,1989,305908.688077,0.305908688077,57,200,Oahu, 
57,57,1747,440670.26191,0.44067026191,58,200,Oahu, 
58,58,1411,207207.94347,0.20720794347,59,200,Oahu, 
59,59,1212,134245.112161,0.134245112161,60,200,Oahu, 
60,60,2084,778151.041895,0.778151041895,61,200,Oahu, 
61,61,1051,2152297.26503,2.15229726503,62,200,Oahu, 
62,62,890,245952.860706,0.245952860706,63,200,Oahu, 
63,63,609,211202.386596,0.211202386596,64,200,Oahu, 
64,64,638,486040.87864,0.48604087864,65,200,Oahu, 
65,65,1218,954847.182356,0.954847182356,66,1,Oahu, 
66,66,84,12944254.8842,12.9442548842,67,200,Oahu, 
67,67,0,2133702.80932,2.13370280932,68,1,Oahu, 
68,68,1039,955235.606632,0.955235606632,69,1,Oahu, 
69,69,866,1235055.37847,1.23505537847,70,200,Oahu, 
70,70,1730,18055423.8793,18.0554238793,71,200,Oahu, 
71,71,624,2384496.68648,2.38449668648,72,1,Oahu, 
72,72,3067,929085.286237,0.929085286237,73,200,Oahu, 
73,73,0,8308099.307799999,8.3080993078,74,200,Oahu, 
74,74,3884,1277045.15909,1.27704515909,75,200,Oahu, 
75,75,2604,605123.833595,0.605123833595,76,200,Oahu, 
76,76,3033,25017735.3884,25.0177353884,77,200,Oahu, 
77,77,5997,2259479.27024,2.25947927024,78,1,Oahu, 
78,78,2353,251052.307053,0.251052307053,79,1,Oahu, 
79,79,770,56700.0873111,0.0567000873111,80,200,Oahu, 
80,80,947,157312.04338,0.15731204338,81,200,Oahu, 
81,81,1685,381651.302151,0.381651302151,82,200,Oahu, 
82,82,2158,290793.498626,0.290793498626,83,200,Oahu, 
83,83,1044,23153293.0991,23.1532930991,84,200,Oahu, 
84,84,1730,396692.874345,0.396692874345,85,200,Oahu, 
85,85,1676,1323981.59919,1.32398159919,86,200,Oahu, 
86,86,1117,22457.5795033,0.0224575795033,87,200,Oahu, 
87,87,529,165319.984474,0.165319984474,88,200,Oahu, 
88,88,1006,219397.926654,0.219397926654,89,200,Oahu, 
89,89,2270,4460540.09825,4.46054009825,90,1,BI, 
90,90,1191,1084101.83262,1.08410183262,91,1,BI, 
91,91,1951,1795803.09622,1.79580309622,92,1,BI, 
92,92,1294,857135.5863319999,0.857135586332,93,1,BI, 
93,93,1531,945446.4178380001,0.945446417838,94,1,BI, 
94,94,655,654695.60154,0.65469560154,95,200,Oahu, 
95,95,2112,1276521.04075,1.27652104075,96,200,Oahu, 
96,96,1047,3509298.50076,3.50929850076,97,200,Oahu, 
97,97,2079,2633248.52288,2.63324852288,98,200,Oahu, 
98,98,2786,4797699.93629,4.79769993629,99,200,Oahu, 
99,99,802,348421.582374,0.348421582374,100,200,Oahu, 
100,100,1271,824565.2958449998,0.824565295845,101,200,Oahu, 
101,101,1069,337106.923066,0.337106923066,102,200,Oahu, 
102,102,560,296608.893287,0.296608893287,103,200,Oahu, 
103,103,2495,516887.541513,0.516887541513,104,200,Oahu, 
104,104,2702,2236987.09359,2.23698709359,105,200,Oahu, 
105,105,395,2221907.043,2.221907043,106,200,Oahu, 
106,106,901,935899.42063,0.93589942063,107,200,Oahu, 
107,107,1433,946235.163602,0.946235163602,108,200,Oahu, 
108,108,3021,767414.1454499998,0.76741414545,109,200,Oahu, 
109,109,3411,1332291.96799,1.33229196799,110,200,Oahu, 
110,110,1017,51135913.7783,51.1359137783,111,200,Oahu, 
111,111,2727,43536932.9884,43.5369329884,112,200,Oahu, 
112,112,858,293304.610249,0.293304610249,113,200,Oahu, 
113,113,435,185116.024691,0.185116024691,114,200,Oahu, 
114,114,1403,316313.051149,0.316313051149,115,200,Oahu, 
115,115,1151,214180.538471,0.214180538471,116,200,Oahu, 
116,116,864,285804.772646,0.285804772646,117,200,Oahu, 
117,117,2982,541198.790137,0.541198790137,118,1,Oahu, 
118,118,926,1581997.44209,1.58199744209,119,200,Oahu, 
119,119,2917,513378.28996,0.51337828996,120,1,Oahu, 
