,Uid,slope_deg
0,-156.73766_21.14266,12.5569
1,-156.73776_21.14266,8.5216303
2,-156.73776_21.14276,8.5216303
3,-156.73786_21.14266,12.1022997
4,-156.74036_21.11454,15.5087996
5,-156.74155_21.11497,31.8300991
6,-156.74165_21.11497,31.8300991
7,-156.74184_21.11192,18.9743996
8,-156.74298_21.11116,12.5162001
9,-156.74299_21.11151,8.92103
10,-156.74406_21.14693,8.5216703
11,-156.74505_21.11221,29.0774994
12,-156.74516_21.11107,0.0
13,-156.74602_21.11277,17.0564995
14,-156.74624_21.11182,17.4293995
15,-156.74631_21.10668,9.4526901
16,-156.74635_21.10810,0.0
17,-156.74678_21.15476,13.9387999
18,-156.75043_21.13161,36.7893982
19,-156.75110_21.10822,18.3761997
20,-156.75120_21.10822,17.0564995
21,-156.75281_21.10168,8.92103
22,-156.75328_21.10124,8.92103
23,-156.75338_21.10124,0.0
24,-156.75605_21.09864,13.6339998
25,-156.75631_21.09844,0.0
26,-156.75642_21.09834,13.6339998
27,-156.75699_21.09861,0.0
28,-156.75732_21.09758,0.0
29,-156.75753_21.09739,0.0
30,-156.75778_21.09714,0.0
31,-156.75801_21.10079,17.4293995
32,-156.75816_21.09690,0.0
33,-156.75922_21.09619,0.0
34,-156.75997_21.09642,8.5216198
35,-156.76061_21.09769,0.0
36,-156.76117_21.09520,0.0
37,-156.76128_21.09991,31.8300991
38,-156.76151_21.09647,0.0
39,-156.76187_21.09609,8.92103
40,-156.76194_21.09547,17.4293995
41,-156.76197_21.09679,3.0324299
42,-156.76199_21.09639,0.0
43,-156.76241_21.09543,9.9540396
44,-156.76287_21.09747,3.0324299
45,-156.76289_21.09567,23.9403992
46,-156.76363_21.09848,30.5907001
47,-156.77020_21.09000,0.0
48,-156.77030_21.09000,0.0
49,-156.77076_21.08973,0.0
50,-156.77115_21.08855,0.0
51,-156.77127_21.08811,0.0
52,-156.77278_21.08783,0.0
53,-156.77363_21.08627,0.0
54,-156.77363_21.08723,6.7555699
55,-156.77466_21.08658,0.0
56,-156.77526_21.08830,0.0
57,-156.77535_21.08943,0.0
58,-156.77553_21.08477,0.0
59,-156.77555_21.08872,0.0
60,-156.77884_21.08481,0.0
61,-156.77925_21.08441,0.0
62,-156.77932_21.08554,0.0
63,-156.77942_21.08554,0.0
64,-156.78033_21.08577,0.0
65,-156.78131_21.08396,8.92103
66,-156.78191_21.08369,0.0
67,-156.78201_21.08369,0.0
68,-156.78225_21.08353,0.0
69,-156.78247_21.08440,17.4293995
70,-156.78391_21.08285,8.92103
71,-156.78576_21.08215,17.4293995
72,-156.78581_21.08057,8.5216198
73,-156.78673_21.08673,8.9210396
74,-156.78955_21.07762,0.0
75,-156.79083_21.07754,4.48772
76,-156.79130_21.07665,9.9540396
77,-156.79158_21.07644,7.07408
78,-156.79166_21.07992,23.8362007
79,-156.79221_21.07581,9.9540396
80,-156.79344_21.07649,12.1022997
81,-156.79419_21.07601,0.0
82,-156.79440_21.07283,0.0
83,-156.79450_21.07283,0.0
84,-156.79519_21.07271,0.0
85,-156.79552_21.07381,0.0
86,-156.79556_21.07301,0.0
87,-156.79574_21.07375,0.0
88,-156.79577_21.09391,45.0900002
89,-156.79582_21.07203,0.0
90,-156.79584_21.07375,0.0
91,-156.79589_21.07464,17.4293995
92,-156.79606_21.07158,0.0
93,-156.79619_21.07283,0.0
94,-156.79629_21.07283,0.0
95,-156.79631_21.07147,0.0
96,-156.79687_21.07364,0.0
97,-156.79790_21.07365,0.0
98,-156.79791_21.07324,0.0
99,-156.79894_21.07317,3.1765399
100,-156.80129_21.07051,0.0
101,-156.80188_21.07240,0.0
102,-156.80277_21.07127,0.0
103,-156.80378_21.06925,0.0
104,-156.80416_21.06856,0.0
105,-156.80431_21.06894,0.0
106,-156.80615_21.07114,0.0
107,-156.80936_21.06865,0.0
108,-156.80970_21.06999,0.0
109,-156.80976_21.07162,8.92103
110,-156.81078_21.06951,0.0
111,-156.81143_21.06938,0.0
112,-156.81191_21.06909,0.0
113,-156.81286_21.06899,0.0
114,-156.81570_21.06772,4.48771
115,-156.81677_21.06774,0.0
116,-156.81913_21.06789,0.0
117,-156.82251_21.06446,8.92103
118,-156.82295_21.06368,6.1908598
119,-156.82305_21.06368,9.4526901
120,-156.82321_21.06349,3.0324299
121,-156.82344_21.06493,4.48771
122,-156.82349_21.06514,0.0
123,-156.82364_21.06531,0.0
124,-156.82368_21.06479,6.3336701
125,-156.82378_21.06552,0.0
126,-156.82389_21.06467,0.0
127,-156.82392_21.06519,8.92103
128,-156.82399_21.06539,4.48771
129,-156.82407_21.06505,4.48771
130,-156.82418_21.06447,7.07408
131,-156.82423_21.06521,3.1765399
132,-156.82431_21.06489,9.4526901
133,-156.82436_21.06436,3.1765399
134,-156.82442_21.06509,9.4526901
135,-156.82449_21.06477,7.07408
136,-156.82459_21.06417,0.0
137,-156.82464_21.06374,0.0
138,-156.82466_21.06493,3.1765399
139,-156.82474_21.06367,0.0
140,-156.82476_21.06462,0.0
141,-156.82483_21.06419,0.0
142,-156.82484_21.06481,7.07408
143,-156.82497_21.06443,3.1765399
144,-156.82506_21.06466,8.92103
145,-156.82563_21.06120,3.1765399
146,-156.82654_21.06246,0.0
147,-156.82654_21.06278,3.1765399
148,-156.82664_21.06246,0.0
149,-156.82679_21.06266,3.1765399
150,-156.82732_21.06204,0.0
151,-156.82749_21.06180,3.1765399
152,-156.82759_21.06180,0.0
153,-156.82769_21.06180,9.9540396
154,-156.82774_21.06521,6.7555699
155,-156.82823_21.06556,8.92103
156,-156.82926_21.06196,4.48771
157,-156.82936_21.06316,4.48772
158,-156.82946_21.06325,7.07408
159,-156.83001_21.06311,3.1765399
160,-156.83011_21.06311,0.0
161,-156.83022_21.06174,0.0
162,-156.83218_21.06284,0.0
163,-156.83272_21.05990,15.5117998
164,-156.83282_21.05990,12.4549999
165,-156.83346_21.05925,0.0
166,-156.83348_21.05817,3.0324299
167,-156.83353_21.06139,0.0
168,-156.83406_21.06138,3.1765399
169,-156.83413_21.05861,0.0
170,-156.83428_21.05743,16.6396008
171,-156.83428_21.05772,0.0
172,-156.83429_21.05851,0.0
173,-156.83431_21.06270,9.4526901
174,-156.83435_21.05995,3.1765399
175,-156.83468_21.05801,4.48771
176,-156.83478_21.05724,0.0
177,-156.83517_21.05610,21.2304001
178,-156.83521_21.05665,0.0
179,-156.83557_21.05680,0.0
180,-156.83560_21.05709,8.92103
181,-156.83572_21.05744,0.0
182,-156.83592_21.05691,8.92103
183,-156.83658_21.05680,3.1765399
184,-156.83968_21.05599,3.1765399
185,-156.84090_21.05953,8.92103
186,-156.84100_21.05574,7.07408
187,-156.84102_21.05687,9.9540396
188,-156.84142_21.05490,0.0
189,-156.84209_21.05558,0.0
190,-156.84254_21.05839,3.1765399
191,-156.84255_21.05923,8.5216198
192,-156.84298_21.05842,8.92103
193,-156.84307_21.05653,9.4526901
194,-156.84317_21.05653,7.07408
195,-156.84465_21.05541,3.1765399
196,-156.84625_21.06354,12.5162001
197,-156.84924_21.05773,0.0
198,-156.85161_21.05797,0.0
199,-156.86385_21.07320,45.6594009
200,-156.86697_21.05428,3.1765399
201,-156.86732_21.05414,0.0
202,-156.86753_21.05187,0.0
203,-156.86760_21.05406,3.1765399
204,-156.86770_21.05406,6.3336701
205,-156.86999_21.05081,3.1765399
206,-156.87024_21.05222,3.0324299
207,-156.87096_21.05074,0.0
208,-156.87200_21.05260,3.1765399
209,-156.87210_21.05260,4.48771
210,-156.87246_21.05419,0.0
211,-156.87376_21.05151,3.1765399
212,-156.87401_21.05152,0.0
213,-156.87428_21.05149,9.4526901
214,-156.87446_21.05543,7.07408
215,-156.87501_21.05579,0.0
216,-156.87587_21.05560,9.5100298
217,-156.87597_21.05560,9.5100298
218,-156.87612_21.05554,8.5216198
219,-156.87644_21.05548,8.5216198
220,-156.87683_21.05543,8.5216198
221,-156.87697_21.04899,8.92103
222,-156.87726_21.04898,7.07408
223,-156.87745_21.04803,0.0
224,-156.87754_21.04718,3.1765399
225,-156.87755_21.04803,0.0
226,-156.87769_21.05513,9.5100298
227,-156.87774_21.05506,9.0302601
228,-156.87784_21.05506,9.5100298
229,-156.87937_21.04852,0.0
230,-156.88181_21.05436,3.1765399
231,-156.91103_21.05740,7.07408
232,-156.91193_21.05762,3.1765399
233,-156.93544_21.06899,9.9540396
234,-156.93975_21.07173,9.5100203
235,-156.94107_21.06730,9.0302601
236,-156.94365_21.06874,9.6434603
237,-156.94397_21.06611,0.0
238,-156.94407_21.06611,0.0
239,-156.94530_21.06399,0.0
240,-156.94586_21.07134,3.1765399
241,-156.95028_21.06695,0.0
242,-156.95038_21.06695,0.0
243,-156.95134_21.06563,0.0
244,-156.95155_21.06727,0.0
245,-156.95156_21.06707,0.0
246,-156.95161_21.06765,0.0
247,-156.95165_21.06681,0.0
248,-156.95166_21.06782,0.0
249,-156.95180_21.06721,0.0
250,-156.95186_21.06677,0.0
251,-156.95186_21.06738,0.0
252,-156.95193_21.06780,0.0
253,-156.95204_21.06722,0.0
254,-156.95207_21.06601,0.0
255,-156.95207_21.06684,0.0
256,-156.95216_21.07581,8.9210396
257,-156.95223_21.06776,0.0
258,-156.95225_21.06609,0.0
259,-156.95232_21.06753,0.0
260,-156.95242_21.06738,0.0
261,-156.95249_21.06722,0.0
262,-156.95257_21.06707,0.0
263,-156.95265_21.06691,0.0
