,Uid,UserDays
0,-157.13194_21.14422,0
1,-157.25780_21.14791,1
2,-157.24613_21.19028,5
3,-157.20856_21.15703,18
4,-157.21922_21.17738,17
5,-157.21093_21.17253,17
6,-157.20814_21.16662,17
7,-157.24633_21.18319,17
8,-157.24587_21.18317,17
9,-157.24543_21.18312,17
10,-157.24389_21.18321,17
11,-157.24301_21.18322,17
12,-157.22836_21.17295,3
13,-157.22915_21.17232,3
14,-157.25752_21.16708,2
15,-157.25225_21.17288,18
16,-157.23650_21.18016,17
17,-157.24170_21.18236,17
18,-157.23469_21.18124,17
19,-157.23121_21.17582,3
20,-157.23136_21.17679,17
21,-157.23181_21.17986,17
22,-157.23348_21.17754,11
23,-157.23346_21.17572,3
24,-157.27220_21.15726,1
25,-157.27072_21.15325,0
26,-157.26758_21.15938,2
27,-157.26660_21.15993,2
28,-157.26175_21.16380,1
29,-156.98750_21.07828,2
30,-156.98726_21.07819,3
31,-156.98642_21.07789,3
32,-156.98697_21.07781,3
33,-156.98728_21.07744,3
34,-156.98824_21.07720,2
35,-156.98806_21.07713,2
36,-156.98814_21.07745,2
37,-156.98796_21.07792,2
38,-156.98781_21.07782,3
39,-157.00002_21.08562,4
40,-157.00017_21.08539,4
41,-157.00031_21.08518,4
42,-157.00043_21.08498,4
43,-157.00078_21.08444,4
44,-157.00089_21.08427,4
45,-156.99628_21.08483,1
46,-156.99612_21.08507,1
47,-156.99580_21.08554,1
48,-156.99588_21.08630,1
49,-156.98738_21.07707,3
50,-156.98773_21.07739,3
51,-156.98855_21.07734,2
52,-156.98868_21.07753,2
53,-156.98881_21.07786,2
54,-157.10458_21.16571,0
55,-157.09902_21.16447,0
56,-157.10404_21.14645,0
57,-157.07005_21.14893,0
58,-157.07164_21.14981,0
59,-157.05835_21.17505,0
60,-157.05894_21.17629,0
61,-157.05935_21.17527,0
62,-157.05927_21.17575,0
63,-156.98901_21.07795,2
64,-156.98876_21.07856,1
65,-156.98854_21.07856,1
66,-156.99727_21.08526,1
67,-156.99738_21.08476,1
68,-156.99775_21.08421,1
69,-156.99801_21.08400,1
70,-156.99819_21.08371,1
71,-157.08150_21.15589,0
72,-157.08349_21.15446,0
73,-157.11548_21.17975,0
74,-157.11353_21.18030,0
75,-157.08203_21.18424,1
76,-157.08359_21.18458,0
77,-157.08543_21.18104,0
78,-157.06544_21.15892,0
79,-156.95489_21.06662,0
80,-156.95508_21.06664,0
81,-156.95531_21.06666,0
82,-156.95592_21.06668,0
83,-156.95629_21.06669,0
84,-156.95462_21.06733,0
85,-156.95265_21.06691,0
86,-156.95364_21.06646,0
87,-157.28756_21.14135,9
88,-157.07443_21.15027,0
89,-157.06373_21.16454,0
90,-157.07261_21.16906,0
91,-157.07323_21.17329,0
92,-157.07480_21.17363,0
93,-157.07637_21.17397,1
94,-157.07803_21.17374,0
95,-157.07948_21.17452,0
96,-157.08099_21.17490,0
97,-157.08246_21.17534,0
98,-157.06868_21.17164,2
99,-157.06922_21.16945,1
100,-157.07747_21.17752,0
101,-157.07009_21.16708,0
102,-157.07035_21.16475,0
103,-157.07058_21.16381,0
104,-157.07134_21.16069,0
105,-157.07103_21.15953,0
106,-157.07140_21.15960,0
107,-157.07178_21.15969,0
108,-157.07216_21.15976,0
109,-157.07218_21.16387,0
110,-157.07375_21.16420,0
111,-157.07646_21.16490,0
112,-157.07593_21.16877,0
113,-157.07941_21.16132,0
114,-157.08003_21.16555,0
115,-157.08252_21.16217,0
116,-157.08066_21.16978,0
117,-157.08318_21.16622,0
118,-156.86999_21.05081,10
119,-156.87096_21.05074,10
120,-157.00100_21.08410,4
121,-157.00110_21.08394,4
122,-157.00130_21.08364,4
123,-157.00150_21.08333,4
124,-157.00160_21.08317,4
125,-157.00170_21.08302,4
126,-157.00180_21.08287,4
127,-157.00210_21.08241,4
128,-157.00220_21.08225,4
129,-157.00227_21.08189,4
130,-157.00318_21.08174,4
131,-157.00341_21.08185,4
132,-157.00309_21.08224,4
133,-157.09556_21.14667,0
134,-157.12755_21.14364,0
135,-157.11619_21.15212,0
136,-157.09711_21.16406,0
137,-157.10089_21.16492,0
138,-157.07593_21.15079,0
139,-157.07827_21.15148,0
140,-157.06701_21.15771,0
141,-157.06861_21.15797,0
142,-157.07200_21.15066,0
143,-157.07194_21.15851,0
144,-157.07360_21.15888,0
145,-157.07527_21.15923,0
146,-157.07867_21.15249,0
147,-157.08341_21.15778,0
148,-157.08080_21.15855,0
149,-157.08163_21.16030,0
150,-157.08261_21.16087,0
151,-157.09087_21.16281,0
152,-157.09301_21.16322,0
153,-157.09674_21.15794,0
154,-157.08416_21.16128,0
155,-157.08933_21.16006,0
156,-157.09575_21.15778,0
157,-157.08719_21.15855,0
158,-157.08086_21.15942,0
159,-157.08181_21.15376,0
160,-157.08184_21.15496,0
161,-156.95257_21.06707,0
162,-156.95249_21.06722,0
163,-156.95242_21.06738,0
164,-156.95232_21.06753,0
165,-156.95223_21.06776,0
166,-156.95193_21.06780,0
167,-156.95166_21.06782,0
168,-156.95161_21.06765,0
169,-156.95186_21.06738,0
170,-156.95204_21.06722,0
171,-156.95180_21.06721,0
172,-156.95155_21.06727,0
173,-156.95156_21.06707,0
174,-156.95165_21.06681,0
175,-156.95186_21.06677,0
176,-156.95207_21.06684,0
177,-156.95225_21.06609,0
178,-156.95207_21.06601,0
179,-156.95362_21.06737,0
180,-156.94586_21.07134,0
181,-156.93975_21.07173,1
182,-156.76197_21.09679,2
183,-156.76287_21.09747,2
184,-156.76363_21.09848,2
185,-157.00741_21.16127,0
186,-157.00769_21.16119,0
187,-157.05891_21.17517,0
188,-157.06179_21.17893,0
189,-157.06326_21.18022,0
190,-157.06483_21.18059,0
191,-157.05941_21.17631,0
192,-157.05985_21.17731,0
193,-157.06076_21.17765,0
194,-157.06090_21.17688,0
195,-157.06107_21.17648,0
196,-157.06031_21.17636,0
197,-157.05991_21.17547,0
198,-157.00697_21.16215,0
199,-157.00687_21.16186,0
200,-157.00669_21.16195,0
201,-157.00653_21.16204,0
202,-157.00676_21.16228,0
203,-157.00675_21.16256,0
204,-157.00607_21.16231,0
205,-157.00554_21.16218,0
206,-157.00556_21.16198,0
207,-157.00579_21.16191,0
208,-157.00597_21.16181,0
209,-156.97902_21.07264,0
210,-156.97856_21.07244,0
211,-156.97779_21.07208,7
212,-156.97743_21.07189,7
213,-156.98923_21.07688,2
214,-156.98888_21.07686,2
215,-157.06210_21.16463,0
216,-157.06519_21.16514,0
217,-157.06656_21.16647,0
218,-157.06882_21.16369,0
219,-157.04613_21.16245,0
220,-157.06121_21.17479,0
221,-157.06346_21.17201,0
222,-157.06472_21.17397,0
223,-157.06586_21.17588,0
224,-157.04328_21.16448,2
225,-157.00406_21.16160,0
226,-157.00311_21.16169,0
227,-157.00333_21.16198,0
228,-157.00368_21.16239,0
229,-157.00388_21.16229,0
230,-157.00425_21.16210,0
231,-157.00443_21.16201,0
232,-157.00631_21.16162,0
233,-157.00647_21.16153,0
234,-157.00520_21.16214,0
235,-157.00529_21.16230,0
236,-157.00547_21.16261,0
237,-157.00556_21.16277,0
238,-156.99814_21.08295,1
239,-157.00460_21.16186,0
240,-157.00488_21.16254,0
241,-157.00408_21.16278,0
242,-157.00419_21.16303,0
243,-157.00376_21.16340,0
244,-157.00434_21.16375,0
245,-157.00416_21.16344,0
246,-157.00483_21.16353,0
247,-157.00476_21.16333,0
248,-157.00469_21.16316,0
249,-157.00555_21.16355,0
250,-157.00567_21.16376,0
251,-157.00578_21.16396,0
252,-157.00556_21.16401,0
