,Uid,WT_elev_m
0,-156.73766_21.14266,8.3617201
1,-156.73776_21.14266,8.3617201
2,-156.73776_21.14276,8.3617201
3,-156.73786_21.14266,8.8529396
4,-156.74155_21.11497,0.011818
5,-156.74165_21.11497,0.011818
6,-156.74184_21.11192,0.0
7,-156.74299_21.11151,0.0
8,-156.74406_21.14693,61.9235001
9,-156.74505_21.11221,0.0053587
10,-156.74516_21.11107,-0.0115104
11,-156.74602_21.11277,0.106104
12,-156.74624_21.11182,0.0075146
13,-156.74631_21.10668,0.0
14,-156.74635_21.10810,0.0
15,-156.74678_21.15476,85.998703
16,-156.75043_21.13161,1.33207
17,-156.75110_21.10822,0.173511
18,-156.75120_21.10822,0.173511
19,-156.75281_21.10168,0.0
20,-156.75328_21.10124,0.0
21,-156.75338_21.10124,0.0
22,-156.75605_21.09864,0.0
23,-156.75631_21.09844,0.0
24,-156.75642_21.09834,0.0
25,-156.75699_21.09861,0.0
26,-156.75732_21.09758,0.0
27,-156.75753_21.09739,0.0
28,-156.75778_21.09714,0.0
29,-156.75801_21.10079,0.0345347
30,-156.75997_21.09642,0.0
31,-156.76061_21.09769,0.0
32,-156.76128_21.09991,0.098605
33,-156.76151_21.09647,0.0
34,-156.76187_21.09609,0.0
35,-156.76197_21.09679,0.0
36,-156.76199_21.09639,0.0
37,-156.76241_21.09543,0.0
38,-156.76287_21.09747,0.0100746
39,-156.76289_21.09567,0.0
40,-156.76363_21.09848,0.180313
41,-156.77020_21.09000,0.0
42,-156.77030_21.09000,0.0
43,-156.77076_21.08973,0.0
44,-156.77115_21.08855,0.0
45,-156.77127_21.08811,0.0
46,-156.77278_21.08783,0.0
47,-156.77363_21.08627,0.0
48,-156.77363_21.08723,0.0
49,-156.77466_21.08658,0.0
50,-156.77526_21.08830,0.0004115
51,-156.77535_21.08943,0.0548797
52,-156.77553_21.08477,0.0
53,-156.77555_21.08872,0.0107878
54,-156.77884_21.08481,-7.91e-05
55,-156.77925_21.08441,0.0
56,-156.77932_21.08554,0.0259321
57,-156.77942_21.08554,0.0259321
58,-156.78033_21.08577,0.0684088
59,-156.78131_21.08396,-0.0008225
60,-156.78191_21.08369,-0.0179946
61,-156.78201_21.08369,-0.0179946
62,-156.78225_21.08353,-0.0244617
63,-156.78247_21.08440,0.0656633
64,-156.78391_21.08285,-0.006484
65,-156.78576_21.08215,-0.0021598
66,-156.78581_21.08057,0.0
67,-156.78673_21.08673,0.750095
68,-156.78812_21.07860,0.0
69,-156.78955_21.07762,-0.0029206
70,-156.79083_21.07754,-0.0082406
71,-156.79130_21.07665,-0.005097
72,-156.79158_21.07644,-0.0076811
73,-156.79166_21.07992,0.343752
74,-156.79221_21.07581,-0.0197144
75,-156.79344_21.07649,0.0759026
76,-156.79419_21.07601,0.0512284
77,-156.79440_21.07283,0.0
78,-156.79450_21.07283,0.0
79,-156.79519_21.07271,-0.0144245
80,-156.79552_21.07381,-0.0415486
81,-156.79556_21.07301,-0.0144245
82,-156.79574_21.07375,-0.040807
83,-156.79577_21.09391,1.97691
84,-156.79582_21.07203,-2.03e-05
85,-156.79584_21.07375,-0.040807
86,-156.79589_21.07464,0.0087765
87,-156.79606_21.07158,0.0
88,-156.79619_21.07283,-0.0298195
89,-156.79629_21.07283,-0.0298195
90,-156.79631_21.07147,0.0
91,-156.79687_21.07364,-0.0157104
92,-156.79790_21.07365,0.0711414
93,-156.79791_21.07324,-0.0168188
94,-156.79894_21.07317,0.0290578
95,-156.80129_21.07051,-0.0679104
96,-156.80188_21.07240,0.146617
