,Uid,dist2_Streams_m
0,-157.13194_21.14422,301.5282914062108
1,-157.25780_21.14791,385.11719769491606
2,-157.24613_21.19028,52.78140246378254
3,-157.20856_21.15703,234.0009906070526
4,-157.21922_21.17738,348.5138770995707
5,-157.21093_21.17253,366.62921713876824
6,-157.20814_21.16662,806.922312329988
7,-157.24633_21.18319,254.36040167763676
8,-157.24587_21.18317,280.8892725882725
9,-157.24543_21.18312,308.0176207557152
10,-157.24389_21.18321,393.0185164359074
11,-157.24301_21.18322,414.5100072969598
12,-157.22836_21.17295,168.97997355805737
13,-157.22915_21.17232,179.76188889976163
14,-157.25752_21.16708,134.2281691509665
15,-157.25225_21.17288,200.75537787686204
16,-157.23650_21.18016,190.24075584990365
17,-157.24170_21.18236,333.7190756166971
18,-157.23469_21.18124,271.18288090855697
19,-157.23121_21.17582,430.1395271216345
20,-157.23136_21.17679,343.0441377458303
21,-157.23181_21.17986,244.34285155010676
22,-157.23348_21.17754,145.2600980952665
23,-157.23346_21.17572,342.9346815415419
24,-157.27220_21.15726,238.3132903831008
25,-157.27072_21.15325,314.33126078127765
26,-157.26758_21.15938,246.04598486819336
27,-157.26660_21.15993,362.41242576651456
28,-157.26175_21.16380,57.94987568230059
29,-156.98750_21.07828,401.7253989977153
30,-156.98726_21.07819,427.8818239778293
31,-156.98642_21.07789,520.2623636105358
32,-156.98697_21.07781,466.5927774083033
33,-156.98728_21.07744,447.322553820662
34,-156.98824_21.07720,359.23886565884624
35,-156.98806_21.07713,379.4259569934872
36,-156.98814_21.07745,361.4027333707591
37,-156.98796_21.07792,364.510830977756
38,-156.98781_21.07782,381.65690929989194
39,-157.00002_21.08562,212.49591205720685
40,-157.00017_21.08539,229.0717739105303
41,-157.00031_21.08518,246.54455525646833
42,-157.00043_21.08498,264.05923642879344
43,-157.00078_21.08444,313.12003705066496
44,-157.00089_21.08427,327.56670166200394
45,-156.99628_21.08483,406.0786493234182
46,-156.99612_21.08507,402.6036734929655
47,-156.99580_21.08554,372.5002806503831
48,-156.99588_21.08630,291.14485478400013
49,-156.98738_21.07707,449.01329191274095
50,-156.98773_21.07739,403.2518807866248
51,-156.98855_21.07734,324.12850830133254
52,-156.98868_21.07753,304.30091716179913
53,-156.98881_21.07786,281.20817828263927
54,-157.10458_21.16571,923.9861955127395
55,-157.09902_21.16447,598.422987822351
56,-157.10404_21.14645,639.6952333864875
57,-157.07005_21.14893,303.8803301135864
58,-157.07164_21.14981,194.85203031461407
59,-157.05835_21.17505,265.4339266078521
60,-157.05894_21.17629,200.28679619594243
61,-157.05935_21.17527,159.08355949777527
62,-157.05927_21.17575,157.12746600407726
63,-156.98901_21.07795,258.54723951774406
64,-156.98876_21.07856,267.7624714967783
65,-156.98854_21.07856,290.5575341410264
66,-156.99727_21.08526,348.2953569193472
67,-156.99738_21.08476,393.6705980219714
68,-156.99775_21.08421,435.61168648576165
69,-156.99801_21.08400,449.61683231216136
70,-156.99819_21.08371,472.8603176164464
71,-157.08150_21.15589,36.400171004696766
72,-157.08349_21.15446,9.84954944053102
73,-157.11548_21.17975,122.87082354218632
74,-157.11353_21.18030,334.14955983625447
75,-157.08203_21.18424,35.33587747576965
76,-157.08359_21.18458,169.3288765729739
77,-157.08543_21.18104,512.0442210059017
78,-157.06544_21.15892,439.1047217892424
79,-156.95489_21.06662,598.7628109237057
80,-156.95508_21.06664,582.92452947126
81,-156.95531_21.06666,564.334906841277
82,-156.95592_21.06668,518.2541216131801
83,-156.95629_21.06669,492.64002673642494
84,-156.95462_21.06733,567.9794800533741
85,-156.95265_21.06691,454.2769866132063
86,-156.95364_21.06646,498.1720610777873
87,-157.28756_21.14135,72.28616558156617
88,-157.07443_21.15027,119.83943113846536
89,-157.06373_21.16454,21.125066491735257
90,-157.07261_21.16906,404.54752387609494
91,-157.07323_21.17329,33.385637780480735
92,-157.07480_21.17363,90.6222947037144
93,-157.07637_21.17397,253.6896648662184
94,-157.07803_21.17374,413.36676169076577
95,-157.07948_21.17452,560.3872013045275
96,-157.08099_21.17490,690.3545985950444
97,-157.08246_21.17534,825.2384332643709
98,-157.06868_21.17164,9.798464863387483
99,-157.06922_21.16945,239.8836276250101
100,-157.07747_21.17752,270.2182345343816
101,-157.07009_21.16708,513.3272834755369
102,-157.07035_21.16475,300.3298448866092
103,-157.07058_21.16381,217.95963585712167
104,-157.07134_21.16069,62.99674059066293
105,-157.07103_21.15953,187.57358798143713
106,-157.07140_21.15960,182.1862242377304
107,-157.07178_21.15969,163.7424504293876
108,-157.07216_21.15976,137.63338578496862
109,-157.07218_21.16387,287.9933708835563
110,-157.07375_21.16420,369.295544417848
111,-157.07646_21.16490,434.4904498474536
112,-157.07593_21.16877,490.68696995477296
113,-157.07941_21.16132,146.23287421164008
114,-157.08003_21.16555,618.8106788665478
115,-157.08252_21.16217,380.2900169680212
116,-157.08066_21.16978,759.3579777216064
117,-157.08318_21.16622,798.1366946822332
118,-156.86999_21.05081,165.48444098843692
119,-156.87096_21.05074,261.4831849825788
120,-157.00100_21.08410,342.3351249523548
121,-157.00110_21.08394,357.20988772098445
122,-157.00130_21.08364,387.1086995278797
