,Uid,In_WellCZ_C
0,-156.94586_21.07134,True
1,-156.93975_21.07173,True
2,-157.01722_21.15426,True
3,-157.01594_21.15427,True
4,-157.01490_21.15391,True
5,-157.01373_21.15409,True
6,-157.01318_21.14995,True
7,-157.01516_21.15509,True
8,-157.01420_21.15524,True
9,-157.01370_21.15546,True
10,-157.01332_21.15578,True
11,-157.00980_21.15840,True
12,-157.00921_21.16030,True
13,-157.00737_21.16095,True
14,-157.00787_21.16023,True
15,-157.00732_21.16045,True
16,-157.00672_21.16086,True
17,-157.00763_21.16033,True
18,-157.00662_21.16062,True
19,-156.94365_21.06874,True
20,-157.02108_21.15203,True
21,-157.01308_21.14995,True
22,-157.01322_21.15578,True
23,-157.00662_21.16086,True
24,-157.00953_21.15913,True
25,-157.00970_21.15900,True
26,-157.00983_21.15883,True
27,-157.00994_21.15866,True
28,-157.01014_21.15851,True
29,-157.01039_21.15823,True
30,-157.01023_21.15818,True
31,-157.01002_21.15810,True
32,-157.00982_21.15803,True
33,-157.00961_21.15795,True
34,-157.00961_21.15847,True
35,-157.00950_21.15865,True
