,Uid,Track_ID
0,-157.13194_21.14422,295
1,-157.25780_21.14791,295
2,-157.24613_21.19028,295
3,-157.20856_21.15703,295
4,-157.21922_21.17738,295
5,-157.21093_21.17253,295
6,-157.20814_21.16662,295
7,-157.24633_21.18319,295
8,-157.24587_21.18317,295
9,-157.24543_21.18312,295
10,-157.24389_21.18321,295
11,-157.24301_21.18322,295
12,-157.22836_21.17295,295
13,-157.22915_21.17232,295
14,-157.25752_21.16708,295
15,-157.25225_21.17288,295
16,-157.23650_21.18016,295
17,-157.24170_21.18236,295
18,-157.23469_21.18124,295
19,-157.23121_21.17582,295
20,-157.23136_21.17679,295
21,-157.23181_21.17986,295
22,-157.23348_21.17754,295
23,-157.23346_21.17572,295
24,-157.27220_21.15726,295
25,-157.27072_21.15325,295
26,-157.26758_21.15938,295
27,-157.26660_21.15993,295
28,-157.26175_21.16380,295
29,-156.98750_21.07828,318
30,-156.98726_21.07819,318
31,-156.98642_21.07789,318
32,-156.98697_21.07781,318
33,-156.98728_21.07744,318
34,-156.98824_21.07720,318
35,-156.98806_21.07713,318
36,-156.98814_21.07745,318
37,-156.98796_21.07792,318
38,-156.98781_21.07782,318
39,-157.00002_21.08562,318
40,-157.00017_21.08539,318
41,-157.00031_21.08518,318
42,-157.00043_21.08498,318
43,-157.00078_21.08444,318
44,-157.00089_21.08427,318
45,-156.99628_21.08483,318
46,-156.99612_21.08507,318
47,-156.99580_21.08554,318
48,-156.99588_21.08630,318
49,-156.98738_21.07707,318
50,-156.98773_21.07739,318
51,-156.98855_21.07734,318
52,-156.98868_21.07753,318
53,-156.98881_21.07786,318
54,-157.10458_21.16571,295
55,-157.09902_21.16447,295
56,-157.10404_21.14645,295
57,-157.07005_21.14893,295
58,-157.07164_21.14981,295
59,-157.05835_21.17505,295
60,-157.05894_21.17629,295
61,-157.05935_21.17527,295
62,-157.05927_21.17575,295
63,-156.98901_21.07795,318
64,-156.98876_21.07856,318
65,-156.98854_21.07856,318
66,-156.99727_21.08526,318
67,-156.99738_21.08476,318
68,-156.99775_21.08421,318
69,-156.99801_21.08400,318
70,-156.99819_21.08371,318
71,-157.08150_21.15589,295
72,-157.08349_21.15446,295
73,-157.11548_21.17975,295
74,-157.11353_21.18030,295
