,Uid,Elevation_m
173,-156.95156_21.06707,20.0
174,-156.95165_21.06681,20.0
175,-156.95186_21.06677,20.0
176,-156.95207_21.06684,20.0
177,-156.95225_21.06609,20.0
178,-156.95207_21.06601,20.0
179,-156.95362_21.06737,20.0
180,-156.94586_21.07134,65.8893967
181,-156.93975_21.07173,93.8488998
182,-156.76197_21.09679,13.4727001
183,-156.76287_21.09747,14.4580002
184,-156.76363_21.09848,17.2080994
185,-157.00741_21.16127,447.2820129
186,-157.00769_21.16119,446.6440125
187,-157.05891_21.17517,242.0740051
188,-157.06179_21.17893,242.8040009
189,-157.06326_21.18022,230.9779968
190,-157.06483_21.18059,209.0200043
191,-157.05941_21.17631,248.0630035
192,-157.05985_21.17731,249.9989929
193,-157.06076_21.17765,251.0249939
194,-157.06090_21.17688,247.8289948
195,-157.06107_21.17648,243.427002
196,-157.06031_21.17636,245.0019989
197,-157.05991_21.17547,242.0140076
198,-157.00697_21.16215,443.6409912
199,-157.00687_21.16186,446.4559937
200,-157.00669_21.16195,447.5799866
201,-157.00653_21.16204,449.0780029
202,-157.00676_21.16228,445.5280151
203,-157.00675_21.16256,442.1409912
204,-157.00607_21.16231,451.1059875
205,-157.00554_21.16218,457.9079895
206,-157.00556_21.16198,459.1149902
207,-157.00579_21.16191,457.1260071
208,-157.00597_21.16181,455.3039856
209,-156.97902_21.07264,20.0
210,-156.97856_21.07244,20.0
211,-156.97779_21.07208,20.0
212,-156.97743_21.07189,20.0
213,-156.98923_21.07688,19.0685997
214,-156.98888_21.07686,20.0
215,-157.06210_21.16463,200.2879944
216,-157.06519_21.16514,201.1399994
217,-157.06656_21.16647,200.0
218,-157.06882_21.16369,187.8000031
219,-157.04613_21.16245,257.3479919
220,-157.06121_21.17479,229.2929993
221,-157.06346_21.17201,219.5839996
222,-157.06472_21.17397,211.3150024
223,-157.06586_21.17588,217.9329987
224,-157.04328_21.16448,279.5
225,-157.00406_21.16160,489.0899963
226,-157.00311_21.16169,485.1149902
227,-157.00333_21.16198,482.947998
228,-157.00368_21.16239,479.8640137
229,-157.00388_21.16229,478.8009949
230,-157.00425_21.16210,478.5469971
231,-157.00443_21.16201,477.2330017
232,-157.00631_21.16162,453.1950073
233,-157.00647_21.16153,451.1900024
234,-157.00520_21.16214,460.7059937
235,-157.00529_21.16230,460.3269958
236,-157.00547_21.16261,455.6560059
237,-157.00556_21.16277,454.6679993
238,-156.99814_21.08295,29.6380005
239,-157.00460_21.16186,474.401001
