,Uid,OSDS_Density_perAcre
0,-157.13194_21.14422,0.00991195067763
1,-157.25780_21.14791,0.00991195067763
2,-157.24613_21.19028,0.317182421684
3,-157.20856_21.15703,0.00991195067763
4,-157.21922_21.17738,0.00991195067763
5,-157.21093_21.17253,0.00991195067763
6,-157.20814_21.16662,0.00991195067763
7,-157.24633_21.18319,0.158591210842
8,-157.24587_21.18317,0.23788681626299998
9,-157.24543_21.18312,0.23788681626299998
10,-157.24389_21.18321,0.317182421684
11,-157.24301_21.18322,0.29735851287799997
12,-157.22836_21.17295,0.0198239013553
13,-157.22915_21.17232,0.0198239013553
14,-157.25752_21.16708,0.00991195067763
15,-157.25225_21.17288,0.0198239013553
16,-157.23650_21.18016,0.0198239013553
17,-157.24170_21.18236,0.0892075523734
18,-157.23469_21.18124,0.029735852032900002
19,-157.23121_21.17582,0.0396478027105
20,-157.23136_21.17679,0.04955975338819999
21,-157.23181_21.17986,0.029735852032900002
22,-157.23348_21.17754,0.04955975338819999
23,-157.23346_21.17572,0.0396478027105
24,-157.27220_21.15726,0.00991195067763
25,-157.27072_21.15325,0.0198239013553
26,-157.26758_21.15938,0.029735852032900002
27,-157.26660_21.15993,0.029735852032900002
28,-157.26175_21.16380,0.00991195067763
29,-157.10458_21.16571,0.04955975338819999
30,-157.09902_21.16447,0.0892075523734
31,-157.10404_21.14645,0.00991195067763
32,-157.07005_21.14893,0.0396478027105
33,-157.07164_21.14981,0.059471704065800005
34,-157.05835_21.17505,0.208150953054
35,-157.05894_21.17629,0.168503165245
36,-157.05935_21.17527,0.18832705915
37,-157.05927_21.17575,0.178415104747
38,-157.08150_21.15589,0.0892075523734
39,-157.08349_21.15446,0.06938365101810001
40,-157.11548_21.17975,0.0198239013553
41,-157.11353_21.18030,0.0396478027105
42,-157.08203_21.18424,0.029735852032900002
43,-157.08359_21.18458,0.0198239013553
44,-157.08543_21.18104,0.07929560542110001
45,-157.06544_21.15892,0.0396478027105
46,-157.28756_21.14135,0.00991195067763
47,-157.07443_21.15027,0.059471704065800005
48,-157.06373_21.16454,0.11894340813200001
49,-157.07261_21.16906,0.029735852032900002
50,-157.07323_21.17329,0.07929560542110001
51,-157.07480_21.17363,0.06938365101810001
52,-157.07637_21.17397,0.07929560542110001
53,-157.07803_21.17374,0.07929560542110001
54,-157.07948_21.17452,0.0892075523734
55,-157.08099_21.17490,0.04955975338819999
56,-157.08246_21.17534,0.04955975338819999
57,-157.06868_21.17164,0.04955975338819999
58,-157.06922_21.16945,0.029735852032900002
59,-157.07747_21.17752,0.029735852032900002
60,-157.07009_21.16708,0.04955975338819999
61,-157.07035_21.16475,0.059471704065800005
62,-157.07058_21.16381,0.059471704065800005
63,-157.07134_21.16069,0.07929560542110001
64,-157.07103_21.15953,0.0892075523734
65,-157.07140_21.15960,0.0892075523734
66,-157.07178_21.15969,0.07929560542110001
67,-157.07216_21.15976,0.0892075523734
68,-157.07218_21.16387,0.06938365101810001
69,-157.07375_21.16420,0.059471704065800005
70,-157.07646_21.16490,0.0396478027105
71,-157.07593_21.16877,0.029735852032900002
72,-157.07941_21.16132,0.059471704065800005
73,-157.08003_21.16555,0.029735852032900002
74,-157.08252_21.16217,0.04955975338819999
75,-157.08066_21.16978,0.00991195067763
76,-157.08318_21.16622,0.059471704065800005
77,-157.09556_21.14667,0.0198239013553
78,-157.12755_21.14364,0.00991195067763
79,-157.11619_21.15212,0.00991195067763
80,-157.09711_21.16406,0.0396478027105
81,-157.10089_21.16492,0.07929560542110001
82,-157.07593_21.15079,0.04955975338819999
83,-157.07827_21.15148,0.04955975338819999
84,-157.06701_21.15771,0.0396478027105
85,-157.06861_21.15797,0.06938365101810001
86,-157.07200_21.15066,0.059471704065800005
87,-157.07194_21.15851,0.0892075523734
88,-157.07360_21.15888,0.07929560542110001
89,-157.07527_21.15923,0.029735852032900002
90,-157.07867_21.15249,0.04955975338819999
91,-157.08341_21.15778,0.06938365101810001
92,-157.08080_21.15855,0.059471704065800005
93,-157.08163_21.16030,0.07929560542110001
94,-157.08261_21.16087,0.07929560542110001
95,-157.09087_21.16281,0.0396478027105
96,-157.09301_21.16322,0.029735852032900002
97,-157.09674_21.15794,0.029735852032900002
98,-157.08416_21.16128,0.0396478027105
99,-157.08933_21.16006,0.029735852032900002
100,-157.09575_21.15778,0.029735852032900002
101,-157.08719_21.15855,0.0198239013553
102,-157.08086_21.15942,0.06938365101810001
103,-157.08181_21.15376,0.07929560542110001
104,-157.08184_21.15496,0.06938365101810001
105,-157.00741_21.16127,0.614540934563
106,-157.00769_21.16119,0.525333344936
107,-157.05891_21.17517,0.18832705915
108,-157.06179_21.17893,0.0892075523734
109,-157.06326_21.18022,0.04955975338819999
110,-157.06483_21.18059,0.059471704065800005
111,-157.05941_21.17631,0.178415104747
112,-157.05985_21.17731,0.14867925643899998
113,-157.06076_21.17765,0.13876730203600002
114,-157.06090_21.17688,0.14867925643899998
115,-157.06107_21.17648,0.168503165245
116,-157.06031_21.17636,0.168503165245
117,-157.05991_21.17547,0.18832705915
118,-157.00697_21.16215,0.733484327793
119,-157.00687_21.16186,0.733484327793
120,-157.00669_21.16195,0.733484327793
121,-157.00653_21.16204,0.802868008614
122,-157.00676_21.16228,0.733484327793
123,-157.00675_21.16256,0.792956054211
124,-157.00607_21.16231,0.802868008614
125,-157.00554_21.16218,0.802868008614
126,-157.00556_21.16198,0.802868008614
127,-157.00579_21.16191,0.802868008614
128,-157.00597_21.16181,0.802868008614
129,-157.06210_21.16463,0.158591210842
130,-157.06519_21.16514,0.09911950677629999
131,-157.06656_21.16647,0.059471704065800005
132,-157.06882_21.16369,0.0396478027105
133,-157.04613_21.16245,0.00991195067763
134,-157.06121_21.17479,0.178415104747
135,-157.06346_21.17201,0.0396478027105
136,-157.06472_21.17397,0.029735852032900002
137,-157.06586_21.17588,0.029735852032900002
138,-157.04328_21.16448,0.0198239013553
139,-157.00406_21.16160,0.60462898016
140,-157.00311_21.16169,0.455949723721
141,-157.00333_21.16198,0.545157253742
142,-157.00368_21.16239,0.67401266098
143,-157.00388_21.16229,0.664100706577
144,-157.00425_21.16210,0.773132145405
145,-157.00443_21.16201,0.773132145405
146,-157.00631_21.16162,0.7533082365989999
147,-157.00647_21.16153,0.7533082365989999
148,-157.00520_21.16214,0.792956054211
149,-157.00529_21.16230,0.792956054211
150,-157.00547_21.16261,0.792956054211
151,-157.00556_21.16277,0.792956054211
152,-157.00460_21.16186,0.773132145405
153,-157.00488_21.16254,0.773132145405
154,-157.00408_21.16278,0.67401266098
155,-157.00419_21.16303,0.72357237339
156,-157.00376_21.16340,0.664100706577
157,-157.00434_21.16375,0.67401266098
158,-157.00416_21.16344,0.72357237339
159,-157.00483_21.16353,0.703748464584
160,-157.00476_21.16333,0.763220191002
161,-157.00469_21.16316,0.72357237339
162,-157.00555_21.16355,0.7433962821960001
163,-157.00567_21.16376,0.7433962821960001
164,-157.00578_21.16396,0.7433962821960001
165,-157.00556_21.16401,0.7433962821960001
166,-157.00538_21.16370,0.7433962821960001
167,-157.00522_21.16378,0.703748464584
168,-157.00540_21.16409,0.683924555779
169,-157.00491_21.16393,0.703748464584
170,-157.00509_21.16424,0.683924555779
171,-157.00481_21.16418,0.683924555779
172,-157.00414_21.16427,0.614540934563
173,-157.00435_21.16454,0.614540934563
174,-157.00459_21.16481,0.47577363252599997
175,-157.00489_21.16479,0.525333344936
176,-157.00547_21.16464,0.683924555779
177,-157.00592_21.16462,0.683924555779
178,-157.00575_21.16438,0.683924555779
179,-157.00603_21.16426,0.634364843369
180,-157.00616_21.16454,0.634364843369
181,-157.00505_21.16292,0.773132145405
182,-157.05414_21.17199,0.158591210842
183,-157.06280_21.16713,0.158591210842
184,-157.06308_21.16722,0.158591210842
185,-157.06338_21.16727,0.178415104747
186,-157.06367_21.16735,0.178415104747
187,-157.05438_21.17224,0.13876730203600002
188,-157.05462_21.17249,0.158591210842
189,-157.05489_21.17273,0.158591210842
190,-157.05513_21.17299,0.168503165245
191,-157.07721_21.18321,0.029735852032900002
192,-157.07877_21.18354,0.0396478027105
193,-157.07478_21.17968,0.0396478027105
194,-157.06762_21.17599,0.059471704065800005
195,-157.07008_21.17262,0.04955975338819999
196,-157.07129_21.17273,0.059471704065800005
197,-157.07016_21.17654,0.059471704065800005
198,-157.07045_21.17660,0.059471704065800005
199,-157.07074_21.17666,0.059471704065800005
200,-157.07104_21.17672,0.059471704065800005
201,-157.07133_21.17679,0.04955975338819999
202,-157.08469_21.16657,0.04955975338819999
203,-157.08606_21.16793,0.0396478027105
204,-157.08786_21.16719,0.0396478027105
205,-157.08844_21.17135,0.0396478027105
206,-157.09097_21.16782,0.029735852032900002
207,-157.09252_21.16821,0.0198239013553
208,-157.09504_21.16464,0.0396478027105
209,-157.07518_21.16508,0.04955975338819999
210,-157.00588_21.16273,0.792956054211
211,-157.00612_21.16270,0.802868008614
212,-157.00625_21.16290,0.802868008614
213,-157.06633_21.18101,0.059471704065800005
214,-157.06786_21.18123,0.059471704065800005
215,-157.06942_21.18156,0.059471704065800005
216,-157.07098_21.18190,0.04955975338819999
217,-157.07255_21.18223,0.04955975338819999
218,-157.07566_21.18292,0.0396478027105
219,-157.09732_21.16916,0.029735852032900002
220,-157.09888_21.16950,0.029735852032900002
221,-157.08724_21.16317,0.0198239013553
222,-157.08664_21.17198,0.029735852032900002
223,-157.08726_21.17619,0.0198239013553
224,-157.00011_21.16149,0.029735852032900002
225,-157.00730_21.16189,0.654188752174
226,-157.00744_21.16210,0.654188752174
227,-157.00755_21.16234,0.654188752174
228,-157.00739_21.16247,0.703748464584
229,-157.00715_21.16255,0.792956054211
230,-157.08975_21.17270,0.0396478027105
231,-157.09102_21.17271,0.029735852032900002
232,-157.09193_21.17720,0.0198239013553
233,-157.09363_21.17756,0.0396478027105
234,-157.09675_21.17823,0.0396478027105
235,-157.09919_21.17482,0.06938365101810001
236,-157.09778_21.18070,0.029735852032900002
237,-157.10038_21.17677,0.0198239013553
238,-157.10051_21.18298,0.029735852032900002
239,-157.10779_21.18060,0.0396478027105
240,-157.10935_21.18094,0.0396478027105
241,-157.11091_21.18127,0.04955975338819999
242,-157.10076_21.16599,0.06938365101810001
243,-157.10105_21.16606,0.07929560542110001
244,-157.10134_21.16612,0.07929560542110001
245,-157.10163_21.16618,0.09911950677629999
246,-157.10192_21.16624,0.09911950677629999
247,-157.10011_21.17367,0.059471704065800005
248,-157.09982_21.17361,0.04955975338819999
249,-157.09953_21.17355,0.04955975338819999
250,-157.09895_21.17342,0.059471704065800005
251,-157.10407_21.16835,0.07929560542110001
252,-157.10525_21.17087,0.059471704065800005
253,-157.10681_21.17120,0.059471704065800005
254,-157.10837_21.17153,0.0892075523734
255,-157.10992_21.17187,0.059471704065800005
256,-157.11139_21.17218,0.059471704065800005
257,-157.11328_21.17635,0.0198239013553
258,-157.11397_21.17349,0.04955975338819999
259,-157.00697_21.16247,0.792956054211
260,-157.08974_21.18197,0.059471704065800005
261,-157.08573_21.18110,0.07929560542110001
262,-157.08944_21.18190,0.07929560542110001
263,-157.08603_21.18117,0.0892075523734
264,-157.08633_21.18123,0.0892075523734
265,-157.08662_21.18131,0.09911950677629999
266,-157.08914_21.18184,0.07929560542110001
267,-157.08884_21.18177,0.09911950677629999
268,-157.08854_21.18171,0.09911950677629999
269,-157.05218_21.16225,0.11894340813200001
270,-157.05414_21.16241,0.14867925643899998
271,-157.05584_21.16296,0.13876730203600002
272,-157.05893_21.16416,0.13876730203600002
273,-157.06051_21.16435,0.14867925643899998
274,-157.04439_21.16764,0.00991195067763
275,-157.04822_21.16631,0.18832705915
276,-157.04833_21.16978,0.0396478027105
277,-157.04908_21.17296,0.0198239013553
278,-157.05332_21.17131,0.158591210842
279,-157.05252_21.17614,0.0198239013553
280,-157.05238_21.17824,0.029735852032900002
281,-157.05504_21.17902,0.0198239013553
282,-157.05141_21.16901,0.327094376087
283,-157.04883_21.17107,0.029735852032900002
284,-157.05693_21.16391,0.11894340813200001
285,-157.06987_21.15940,0.0892075523734
286,-157.06251_21.16710,0.178415104747
287,-157.05337_21.13140,0.0198239013553
288,-157.05361_21.12899,0.0198239013553
289,-157.01722_21.15426,0.0396478027105
