,Uid,dist2_coast_m
0,-157.13194_21.14422,5113.37133490945
1,-157.25780_21.14791,1866.987874614612
2,-157.24613_21.19028,223.94608056297136
3,-157.20856_21.15703,5006.257037070509
4,-157.21922_21.17738,3218.207511113668
5,-157.21093_21.17253,4190.6047237093535
6,-157.20814_21.16662,4610.857875944286
7,-157.24633_21.18319,363.6137457101007
8,-157.24587_21.18317,406.3660838006143
9,-157.24543_21.18312,449.32563586834425
10,-157.24389_21.18321,589.9582713677027
11,-157.24301_21.18322,672.2227121291601
12,-157.22836_21.17295,2439.5438200442595
13,-157.22915_21.17232,2377.856980224888
14,-157.25752_21.16708,320.90290834197407
15,-157.25225_21.17288,259.07900533089287
16,-157.23650_21.18016,1427.6082622150727
17,-157.24170_21.18236,836.3471579488759
18,-157.23469_21.18124,1558.4846838837796
19,-157.23121_21.17582,2085.377027204352
20,-157.23136_21.17679,2057.459310851594
21,-157.23181_21.17986,1890.9243943074305
22,-157.23348_21.17754,1831.184717825292
23,-157.23346_21.17572,1856.5967368391707
24,-157.27220_21.15726,224.1360373098824
25,-157.27072_21.15325,675.0376706988468
26,-157.26758_21.15938,250.44008012927657
27,-157.26660_21.15993,261.138792897718
28,-157.26175_21.16380,288.79852820779087
29,-156.98750_21.07828,241.96217842419864
30,-156.98726_21.07819,240.6769259861725
31,-156.98642_21.07789,242.8485145675218
32,-156.98697_21.07781,212.85793105384548
33,-156.98728_21.07744,163.56084707230107
34,-156.98824_21.07720,103.49503209233262
35,-156.98806_21.07713,101.86820308183864
36,-156.98814_21.07745,132.915595593239
37,-156.98796_21.07792,188.0394257815436
38,-156.98781_21.07782,182.8896692131572
39,-157.00002_21.08562,636.693778520708
40,-157.00017_21.08539,608.7887279698552
41,-157.00031_21.08518,583.2530065576301
42,-157.00043_21.08498,560.0073179279385
43,-157.00078_21.08444,496.6307468554559
44,-157.00089_21.08427,476.72352882356887
45,-156.99628_21.08483,692.1389051134909
46,-156.99612_21.08507,722.7498743744211
47,-156.99580_21.08554,784.0997882394832
48,-156.99588_21.08630,853.7067813389172
49,-156.98738_21.07707,121.64472987882256
50,-156.98773_21.07739,141.373600562179
51,-156.98855_21.07734,106.96286207405007
52,-156.98868_21.07753,121.9404847769468
