,Uid,dist2_Wetlands_m
0,-157.13194_21.14422,2485.7167595486785
1,-157.25780_21.14791,1983.14669981161
2,-157.24613_21.19028,2991.3707426513256
3,-157.20856_21.15703,2272.0968011521154
4,-157.21922_21.17738,4353.987076444314
5,-157.21093_21.17253,3863.3655395358255
6,-157.20814_21.16662,3289.7839086771114
7,-157.24633_21.18319,2326.458229436894
8,-157.24587_21.18317,2354.5695199954102
9,-157.24543_21.18312,2379.8744688760407
10,-157.24389_21.18321,2493.4282434642364
11,-157.24301_21.18322,2558.2849643409127
12,-157.22836_21.17295,3385.5935859014166
13,-157.22915_21.17232,3291.2635145719514
14,-157.25752_21.16708,288.5745686825716
15,-157.25225_21.17288,1075.458197816755
16,-157.23650_21.18016,2881.2575698860715
17,-157.24170_21.18236,2590.5947255079664
18,-157.23469_21.18124,3104.6611780101885
19,-157.23121_21.17582,3181.027410901565
20,-157.23136_21.17679,3202.72029943048
21,-157.23181_21.17986,3293.6005928302025
22,-157.23348_21.17754,3028.8933659704494
23,-157.23346_21.17572,2956.919939498264
24,-157.27220_21.15726,1418.844698760628
25,-157.27072_21.15325,1644.5868496488974
26,-157.26758_21.15938,908.7621943075872
27,-157.26660_21.15993,796.335020343434
28,-157.26175_21.16380,182.2508585541704
29,-156.98750_21.07828,2010.526013947008
30,-156.98726_21.07819,2036.897329492985
31,-156.98642_21.07789,2129.5392040553525
32,-156.98697_21.07781,2075.630923850179
33,-156.98728_21.07744,2053.9798835808374
34,-156.98824_21.07720,1964.0562573653228
35,-156.98806_21.07713,1984.1795879963688
36,-156.98814_21.07745,1967.0812964312895
37,-156.98796_21.07792,1972.9743700708727
38,-156.98781_21.07782,1989.7027390094793
39,-157.00002_21.08562,773.5975692491866
40,-157.00017_21.08539,747.6412890022883
41,-157.00031_21.08518,723.9712822073308
42,-157.00043_21.08498,702.5054827211558
43,-157.00078_21.08444,644.4067818695261
44,-157.00089_21.08427,626.1521752330958
45,-156.99628_21.08483,1100.3620333975882
46,-156.99612_21.08507,1123.5093582054471
47,-156.99580_21.08554,1170.687497430126
48,-156.99588_21.08630,1193.8436087756083
49,-156.98738_21.07707,2054.100280589065
