,Uid,BlockGp_ID
0,-157.13194_21.14422,779
1,-157.25780_21.14791,779
2,-157.24613_21.19028,779
3,-157.20856_21.15703,779
4,-157.21922_21.17738,779
5,-157.21093_21.17253,779
6,-157.20814_21.16662,779
7,-157.24633_21.18319,779
8,-157.24587_21.18317,779
9,-157.24543_21.18312,779
10,-157.24389_21.18321,779
11,-157.24301_21.18322,779
12,-157.22836_21.17295,779
13,-157.22915_21.17232,779
14,-157.25752_21.16708,779
15,-157.25225_21.17288,779
16,-157.23650_21.18016,779
17,-157.24170_21.18236,779
18,-157.23469_21.18124,779
19,-157.23121_21.17582,779
20,-157.23136_21.17679,779
21,-157.23181_21.17986,779
22,-157.23348_21.17754,779
23,-157.23346_21.17572,779
24,-157.27220_21.15726,779
25,-157.27072_21.15325,779
26,-157.26758_21.15938,779
27,-157.26660_21.15993,779
28,-157.26175_21.16380,779
29,-156.98750_21.07828,845
30,-156.98726_21.07819,845
31,-156.98642_21.07789,845
32,-156.98697_21.07781,845
33,-156.98728_21.07744,845
34,-156.98824_21.07720,845
35,-156.98806_21.07713,845
36,-156.98814_21.07745,845
37,-156.98796_21.07792,845
38,-156.98781_21.07782,845
39,-157.00002_21.08562,789
40,-157.00017_21.08539,789
41,-157.00031_21.08518,789
42,-157.00043_21.08498,789
43,-157.00078_21.08444,789
44,-157.00089_21.08427,789
45,-156.99628_21.08483,789
46,-156.99612_21.08507,789
47,-156.99580_21.08554,789
48,-156.99588_21.08630,789
49,-156.98738_21.07707,845
50,-156.98773_21.07739,845
51,-156.98855_21.07734,845
52,-156.98868_21.07753,845
53,-156.98881_21.07786,845
54,-157.10458_21.16571,779
55,-157.09902_21.16447,779
56,-157.10404_21.14645,779
57,-157.07005_21.14893,779
58,-157.07164_21.14981,779
59,-157.05835_21.17505,829
60,-157.05894_21.17629,829
61,-157.05935_21.17527,829
62,-157.05927_21.17575,829
63,-156.98901_21.07795,845
64,-156.98876_21.07856,845
65,-156.98854_21.07856,845
66,-156.99727_21.08526,789
67,-156.99738_21.08476,789
68,-156.99775_21.08421,789
69,-156.99801_21.08400,789
70,-156.99819_21.08371,789
71,-157.08150_21.15589,779
72,-157.08349_21.15446,779
73,-157.11548_21.17975,829
74,-157.11353_21.18030,829
75,-157.08203_21.18424,829
76,-157.08359_21.18458,829
77,-157.08543_21.18104,829
78,-157.06544_21.15892,779
79,-156.95489_21.06662,845
80,-156.95508_21.06664,845
81,-156.95531_21.06666,845
82,-156.95592_21.06668,845
83,-156.95629_21.06669,845
84,-156.95462_21.06733,845
85,-156.95265_21.06691,845
86,-156.95364_21.06646,845
87,-157.28756_21.14135,779
88,-157.07443_21.15027,779
89,-157.06373_21.16454,779
90,-157.07261_21.16906,829
91,-157.07323_21.17329,829
92,-157.07480_21.17363,829
93,-157.07637_21.17397,829
94,-157.07803_21.17374,829
95,-157.07948_21.17452,829
96,-157.08099_21.17490,829
97,-157.08246_21.17534,829
98,-157.06868_21.17164,829
99,-157.06922_21.16945,829
100,-157.07747_21.17752,829
101,-157.07009_21.16708,779
102,-157.07035_21.16475,779
103,-157.07058_21.16381,779
104,-157.07134_21.16069,779
105,-157.07103_21.15953,779
106,-157.07140_21.15960,779
107,-157.07178_21.15969,779
108,-157.07216_21.15976,779
109,-157.07218_21.16387,779
110,-157.07375_21.16420,779
111,-157.07646_21.16490,779
112,-157.07593_21.16877,779
113,-157.07941_21.16132,779
114,-157.08003_21.16555,779
115,-157.08252_21.16217,779
116,-157.08066_21.16978,779
117,-157.08318_21.16622,779
118,-156.86999_21.05081,787
119,-156.87096_21.05074,787
120,-157.00100_21.08410,789
121,-157.00110_21.08394,789
122,-157.00130_21.08364,789
123,-157.00150_21.08333,789
124,-157.00160_21.08317,789
125,-157.00170_21.08302,789
126,-157.00180_21.08287,789
127,-157.00210_21.08241,789
128,-157.00220_21.08225,789
129,-157.00227_21.08189,789
130,-157.00318_21.08174,789
131,-157.00341_21.08185,789
132,-157.00309_21.08224,789
133,-157.09556_21.14667,779
134,-157.12755_21.14364,779
135,-157.11619_21.15212,829
136,-157.09711_21.16406,779
137,-157.10089_21.16492,779
138,-157.07593_21.15079,779
139,-157.07827_21.15148,779
140,-157.06701_21.15771,779
141,-157.06861_21.15797,779
142,-157.07200_21.15066,779
143,-157.07194_21.15851,779
144,-157.07360_21.15888,779
145,-157.07527_21.15923,779
146,-157.07867_21.15249,779
