,Uid,WT_elev_m,Elevation_m,Dep_to_Water_m
0,-156.73766_21.14266,8.3617201,227.6040039,219.2422838
1,-156.73776_21.14266,8.3617201,229.227005,220.8652849
2,-156.73776_21.14276,8.3617201,230.3419952,221.98027510000003
3,-156.73786_21.14266,8.8529396,230.5200043,221.66706470000003
4,-156.74036_21.11454,,10.0,
5,-156.74155_21.11497,0.011818,21.9230003,21.9111823
6,-156.74165_21.11497,0.011818,21.9803009,21.968482899999998
7,-156.74184_21.11192,0.0,32.9550018,32.9550018
8,-156.74298_21.11116,,10.1712999,
9,-156.74299_21.11151,0.0,17.0312004,17.0312004
10,-156.74345_21.11100,,,
11,-156.74406_21.14693,61.9235001,282.769989,220.8464889
12,-156.74505_21.11221,0.0053587,35.6563988,35.651040099999996
13,-156.74516_21.11107,-0.0115104,9.0019503,9.013460700000001
14,-156.74602_21.11277,0.106104,31.0294991,30.9233951
15,-156.74624_21.11182,0.0075146,10.2234001,10.215885499999999
16,-156.74631_21.10668,0.0,11.9889002,11.9889002
17,-156.74635_21.10810,0.0,38.5881004,38.5881004
18,-156.74678_21.15476,85.998703,11.6733999,0.999
19,-156.75043_21.13161,1.33207,283.4859924,282.1539224
20,-156.75110_21.10822,0.173511,99.8395004,99.6659894
21,-156.75120_21.10822,0.173511,101.1350021,100.96149109999999
22,-156.75281_21.10168,0.0,9.4090405,9.4090405
23,-156.75328_21.10124,0.0,6.9786501,6.9786501
24,-156.75338_21.10124,0.0,6.9917102,6.9917102
25,-156.75605_21.09864,0.0,11.7519999,11.7519999
26,-156.75631_21.09844,0.0,12.9202003,12.9202003
27,-156.75642_21.09834,0.0,12.8485003,12.8485003
28,-156.75699_21.09861,0.0,8.9878397,8.9878397
29,-156.75732_21.09758,0.0,13.0183001,13.0183001
30,-156.75753_21.09739,0.0,13.0508003,13.0508003
31,-156.75778_21.09714,0.0,12.4155998,12.4155998
32,-156.75801_21.10079,0.0345347,62.9152985,62.8807638
33,-156.75816_21.09690,,11.9581003,
34,-156.75922_21.09619,,13.967,
35,-156.75997_21.09642,0.0,15.4568996,15.4568996
36,-156.76061_21.09769,0.0,11.5458002,11.5458002
37,-156.76117_21.09520,,13.3158998,
38,-156.76128_21.09991,0.098605,25.0482006,24.949595600000002
39,-156.76151_21.09647,0.0,15.0324001,15.0324001
40,-156.76187_21.09609,0.0,9.8688297,9.8688297
41,-156.76194_21.09547,,8.9899502,
42,-156.76197_21.09679,0.0,13.4727001,13.4727001
43,-156.76199_21.09639,0.0,12.4881001,12.4881001
44,-156.76241_21.09543,0.0,14.4202003,14.4202003
45,-156.76287_21.09747,0.0100746,14.4580002,14.447925600000001
46,-156.76289_21.09567,0.0,25.5217991,25.5217991
47,-156.76363_21.09848,0.180313,17.2080994,17.027786399999997
48,-156.77020_21.09000,0.0,9.0,9.0
49,-156.77030_21.09000,0.0,9.0,9.0
50,-156.77076_21.08973,0.0,9.0,9.0
