,Uid,InSLR2050
0,-156.74678_21.15476,True
1,-156.77278_21.08783,True
2,-156.79221_21.07581,True
3,-156.82295_21.06368,True
4,-156.83272_21.05990,True
5,-156.83282_21.05990,True
6,-156.85161_21.05797,True
7,-156.86385_21.05237,True
8,-156.86753_21.05187,True
9,-157.01206_21.08326,True
10,-157.01233_21.08334,True
11,-157.01263_21.08345,True
12,-157.01290_21.08353,True
13,-157.02962_21.09637,True
14,-157.03017_21.09661,True
15,-157.03177_21.09674,True
16,-157.03809_21.09753,True
17,-157.25215_21.17288,True
18,-157.25225_21.17288,True
19,-157.26175_21.16380,True
20,-157.28756_21.14135,True
