,Uid,BlockBk_ID
0,-157.13194_21.14422,21593
1,-157.25780_21.14791,21243
2,-157.24613_21.19028,22551
3,-157.20856_21.15703,23353
4,-157.21922_21.17738,22551
5,-157.21093_21.17253,22551
6,-157.20814_21.16662,20275
7,-157.24633_21.18319,22551
8,-157.24587_21.18317,22551
9,-157.24543_21.18312,22551
10,-157.24389_21.18321,22551
11,-157.24301_21.18322,22551
12,-157.22836_21.17295,20129
13,-157.22915_21.17232,20129
14,-157.25752_21.16708,22551
15,-157.25225_21.17288,22551
16,-157.23650_21.18016,21336
17,-157.24170_21.18236,22283
18,-157.23469_21.18124,22283
19,-157.23121_21.17582,22156
20,-157.23136_21.17679,22156
21,-157.23181_21.17986,22156
22,-157.23348_21.17754,22156
23,-157.23346_21.17572,22156
24,-157.27220_21.15726,22551
25,-157.27072_21.15325,22551
26,-157.26758_21.15938,22551
27,-157.26660_21.15993,22551
28,-157.26175_21.16380,22551
29,-156.98750_21.07828,22769
30,-156.98726_21.07819,22769
31,-156.98642_21.07789,22769
32,-156.98697_21.07781,22769
33,-156.98728_21.07744,22769
34,-156.98824_21.07720,22769
35,-156.98806_21.07713,22769
36,-156.98814_21.07745,22769
37,-156.98796_21.07792,22769
38,-156.98781_21.07782,22769
39,-157.00002_21.08562,22122
40,-157.00017_21.08539,22122
41,-157.00031_21.08518,22122
42,-157.00043_21.08498,22122
43,-157.00078_21.08444,22122
44,-157.00089_21.08427,22122
45,-156.99628_21.08483,20345
46,-156.99612_21.08507,20345
47,-156.99580_21.08554,20345
48,-156.99588_21.08630,20345
49,-156.98738_21.07707,22769
50,-156.98773_21.07739,22769
51,-156.98855_21.07734,22769
52,-156.98868_21.07753,22769
53,-156.98881_21.07786,22769
54,-157.10458_21.16571,22034
55,-157.09902_21.16447,22034
56,-157.10404_21.14645,21097
57,-157.07005_21.14893,21717
58,-157.07164_21.14981,21717
59,-157.05835_21.17505,21209
60,-157.05894_21.17629,21209
61,-157.05935_21.17527,21209
62,-157.05927_21.17575,21209
63,-156.98901_21.07795,22769
64,-156.98876_21.07856,22769
65,-156.98854_21.07856,22769
66,-156.99727_21.08526,20345
67,-156.99738_21.08476,20345
68,-156.99775_21.08421,20345
69,-156.99801_21.08400,20345
70,-156.99819_21.08371,20345
71,-157.08150_21.15589,22794
72,-157.08349_21.15446,22794
73,-157.11548_21.17975,20371
74,-157.11353_21.18030,20371
75,-157.08203_21.18424,23018
76,-157.08359_21.18458,23018
77,-157.08543_21.18104,22801
78,-157.06544_21.15892,21334
79,-156.95489_21.06662,20152
80,-156.95508_21.06664,20152
81,-156.95531_21.06666,20152
82,-156.95592_21.06668,20152
83,-156.95629_21.06669,20152
84,-156.95462_21.06733,20336
85,-156.95265_21.06691,20336
86,-156.95364_21.06646,20152
87,-157.28756_21.14135,22551
88,-157.07443_21.15027,21717
89,-157.06373_21.16454,21334
90,-157.07261_21.16906,21631
91,-157.07323_21.17329,20807
92,-157.07480_21.17363,20989
93,-157.07637_21.17397,20989
94,-157.07803_21.17374,20989
95,-157.07948_21.17452,20989
96,-157.08099_21.17490,20989
97,-157.08246_21.17534,20989
98,-157.06868_21.17164,21631
99,-157.06922_21.16945,21631
100,-157.07747_21.17752,20989
101,-157.07009_21.16708,23025
102,-157.07035_21.16475,23025
103,-157.07058_21.16381,20812
104,-157.07134_21.16069,20812
105,-157.07103_21.15953,23596
106,-157.07140_21.15960,23596
107,-157.07178_21.15969,23596
108,-157.07216_21.15976,23596
109,-157.07218_21.16387,23596
110,-157.07375_21.16420,23025
111,-157.07646_21.16490,20718
112,-157.07593_21.16877,21212
113,-157.07941_21.16132,20645
114,-157.08003_21.16555,20718
115,-157.08252_21.16217,20897
116,-157.08066_21.16978,21333
117,-157.08318_21.16622,20897
118,-156.86999_21.05081,20014
119,-156.87096_21.05074,20014
120,-157.00100_21.08410,22122
121,-157.00110_21.08394,22122
122,-157.00130_21.08364,22122
123,-157.00150_21.08333,22122
124,-157.00160_21.08317,22122
125,-157.00170_21.08302,22122
126,-157.00180_21.08287,22122
127,-157.00210_21.08241,22122
128,-157.00220_21.08225,22122
129,-157.00227_21.08189,22122
130,-157.00318_21.08174,21431
131,-157.00341_21.08185,21431
132,-157.00309_21.08224,21431
133,-157.09556_21.14667,22289
134,-157.12755_21.14364,22315
135,-157.11619_21.15212,21536
136,-157.09711_21.16406,22034
137,-157.10089_21.16492,22034
138,-157.07593_21.15079,20804
139,-157.07827_21.15148,20804
140,-157.06701_21.15771,23020
141,-157.06861_21.15797,23020
142,-157.07200_21.15066,23020
143,-157.07194_21.15851,23027
144,-157.07360_21.15888,23027
145,-157.07527_21.15923,23027
146,-157.07867_21.15249,22046
147,-157.08341_21.15778,22794
148,-157.08080_21.15855,22794
149,-157.08163_21.16030,22794
150,-157.08261_21.16087,23256
151,-157.09087_21.16281,21528
152,-157.09301_21.16322,20896
153,-157.09674_21.15794,23824
154,-157.08416_21.16128,21802
155,-157.08933_21.16006,23496
156,-157.09575_21.15778,23824
157,-157.08719_21.15855,22375
158,-157.08086_21.15942,22794
159,-157.08181_21.15376,22794
160,-157.08184_21.15496,22794
161,-156.95257_21.06707,20336
162,-156.95249_21.06722,20336
163,-156.95242_21.06738,20336
164,-156.95232_21.06753,20336
165,-156.95223_21.06776,20336
166,-156.95193_21.06780,20336
167,-156.95166_21.06782,20336
168,-156.95161_21.06765,20336
169,-156.95186_21.06738,20336
170,-156.95204_21.06722,20336
171,-156.95180_21.06721,20336
172,-156.95155_21.06727,20336
173,-156.95156_21.06707,20336
174,-156.95165_21.06681,20336
175,-156.95186_21.06677,20336
176,-156.95207_21.06684,20336
177,-156.95225_21.06609,20152
178,-156.95207_21.06601,20152
179,-156.95362_21.06737,20336
180,-156.94586_21.07134,21424
181,-156.93975_21.07173,21424
182,-156.76197_21.09679,20341
183,-156.76287_21.09747,20341
184,-156.76363_21.09848,20341
185,-157.00741_21.16127,20813
186,-157.00769_21.16119,20813
187,-157.05891_21.17517,21209
188,-157.06179_21.17893,21209
189,-157.06326_21.18022,21209
190,-157.06483_21.18059,21209
191,-157.05941_21.17631,21209
192,-157.05985_21.17731,21209
193,-157.06076_21.17765,21209
194,-157.06090_21.17688,21209
195,-157.06107_21.17648,21209
196,-157.06031_21.17636,21209
197,-157.05991_21.17547,23598
198,-157.00697_21.16215,20813
199,-157.00687_21.16186,20813
200,-157.00669_21.16195,20813
201,-157.00653_21.16204,20813
202,-157.00676_21.16228,20813
203,-157.00675_21.16256,20813
204,-157.00607_21.16231,20813
205,-157.00554_21.16218,20813
206,-157.00556_21.16198,20813
207,-157.00579_21.16191,20813
208,-157.00597_21.16181,20813
209,-156.97902_21.07264,21429
